HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.68,1.07,0,0,0.01,0.53,2.25,10.32,0.02,0,0.01,0.11,0,0,79.01,16.81,2.23,2.38,20.41,0.83,0,0,0.89,0.04,0.37,0,0.12,0.21,0.93,0.02,0
2,5.56,0,0.67,0,0,0,0.24,0.28,4.11,4.9,0.95,0.25,0,3.38,0,12.91,7.39,0.01,4.7,7.4,0.18,2.56,0,0.94,0.01,0.01,0,0,0.39,1.09,0,6.91
3,2.37,1.03,0,0,0,0,0,0.6,1.57,0,0,0,0.89,1.11,0,0,4.92,2.13,0,12.88,3.55,23.37,0,4.29,0.19,3.87,0,0.98,0,0,0,12.28
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1,0.29,0,0,0,0,0,0.43,0.1,0.08,0.33,0.31,2.46,0.09,0,42.52,0.24,0.03,4.61,15.23,35.87,0.01,0,31.41,25.03,20.75,0.03,0.03,0.1,0,0,6.37
7,2.14,1.78,1.93,0,0,0,0,1.83,2.31,0.71,1.82,4.63,0,2.01,0,16.67,5.07,0.26,5.38,8.03,0,11.85,0,0,17.04,0,0,0,1.92,0.8,0,5.88
8,7.53,0.73,0.73,0,0,0.04,0.23,0,7.45,7.97,2.24,0.27,0.3,5.84,0,29.51,11.42,1.53,8.89,17.26,0.02,16.78,0,1.27,0.04,0.02,0,0.03,3.08,3.37,0.02,15.81
9,19.05,1.39,1.06,0,0,0.01,0.49,2.39,0,0.14,0,0.01,0.06,6.87,0,0,0,0,2.24,30.72,0.59,58.7,0,1.07,0.04,0.68,0,0.12,0.19,2.37,0.02,30.67
10,3.78,6.14,0,0,0,3.92,5.85,9.3,3.33,0,0,1.4,2.02,2.03,0,21.09,7.76,0.05,11.64,12.58,1.93,4.39,0,4.55,0.1,1.3,0.02,0.35,3.75,4.03,0,9.69
11,0,1.21,0,0,0,0.27,0.3,1.32,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0.03,0,0,0.2,0.03,0.03,0,0,0,0,0,0
12,0.12,0.11,0.02,0,0,0.87,2.28,0.14,0.16,0.03,0.13,0,0.39,0.06,0,10.98,0.09,0.01,2.64,1.99,0.16,0,0,10.71,11.57,0.15,0.01,0.08,0.1,0,0,0.1
13,0.14,0.1,0.54,0,0,1.01,0,0.16,0.08,0.09,0.09,0.22,0,0.02,0,0.18,0.47,0.16,0.33,0.48,0.58,2.95,0,1.86,0.47,0.67,0,0.5,0,0.26,0,0.72
14,0,1,0.51,0,0,0.01,0.41,0.46,4.91,0.01,0,0,0.07,0,0,0,0,0.31,2.12,48.86,0.4,0,0,0.66,0.04,0.12,0,0.1,0.18,1.17,0.01,0
15,0,8.91,0,0,0,23.5,15.77,15.77,0,16.61,0,7.72,4.05,0,0,0,0,0,25.9,0,64.41,0,434.76,17.48,0.12,101.21,0.55,1.05,12.05,56.91,16.61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,30.41,2.16,2.34,0,0,1.81,2.09,3.07,0,1.92,0,0.57,1.35,1.42,0,0,0,0,0,29.85,0.53,86.23,0,4.31,0.2,1.59,0.01,0.35,1.93,6.13,0.03,154.12
18,23.29,1.81,1.78,0,0,0.67,0.29,2.25,0,0.04,0,0.16,0.46,27,0,0,0,0,2.74,131.89,0.67,739.55,0,2.12,0.09,2.65,0,0.41,0.02,3.91,0.02,0
19,21.12,19.18,0,0,0,16.52,18.94,22.58,0.78,34.21,0,29.3,6.99,17.99,0,0.83,1.44,0,0,32.49,15.77,54.39,0,33.67,4.46,33.85,0.96,3.5,10.09,47.86,0.2,37.58
20,36.01,5.83,8.15,0,0,3.46,5.21,6.85,38.31,10.68,0,1.51,2.95,61.47,0,0,1.7,93.66,34.37,0,71.55,102.05,0,11.59,0.29,33.35,0.16,1.72,3.85,11.4,7.56,0
21,11.35,2.47,1.94,0,0,35.24,0,5.63,14.36,9.7,6.38,12.66,9.45,8.89,0,8.84,15.79,0.18,6.53,143.44,0,26.71,0,277.87,39.27,25.44,9.74,18.57,2.03,1.36,0,26.69
22,0,2.49,9.19,0,0,2.5,2.04,4.27,9.86,0.46,0,2.13,1.92,0,0,0,0.81,345.84,11.9,26.73,10.5,0,0,10.08,0.05,8.27,0.03,2.09,1.72,3.96,0.52,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.79,2.3,2.59,0,0,12.24,0,3.08,2.89,1.02,2.24,30.68,5.63,2.09,0,32.24,7.49,0.27,49.63,13.64,183.6,23.33,0,0,28.79,28.76,0.07,1.4,0.44,1.2,0,13.37
25,0.25,0.13,0.28,0,0,6.62,8.97,0.02,0.13,0,0.07,7.05,4.24,0.12,0,0,0.42,0.22,0.16,0.6,15.32,0.07,0,8.78,0,9.88,0.01,0.27,0,0,0,0.91
26,0.9,0.82,2.71,0,0,11.38,0,0.6,0.83,0.33,0.97,1.06,4.16,0.83,0,121.17,4.96,0.13,16.63,26.83,4.32,30.79,0,26.07,14.6,0,0.09,1.2,0.5,1.77,0,18.67
27,0.52,0.08,0,0,0,4.92,0,0.16,0.18,0.17,0.36,0.4,2.61,0.2,0,8.82,1.01,0.01,1.58,0.72,3.66,0,0,0.98,5.76,2.93,0,0.01,0,0,0,0.36
28,0.71,0.44,1.44,0,0,2.42,0,0.18,0.71,0.16,0.55,0.93,3.18,0.78,0,16.5,2.3,0.16,2.66,1.61,2.05,20.03,0,2.92,4.57,2.32,0.01,0,1.79,0.68,0,2.5
29,10.03,3.63,0,0,0,1.76,1.95,3.03,6.58,2.79,0,0.24,0,4.36,0,61.26,20.01,0.14,5.72,28.14,0.78,0.06,0,0,0,0.45,0,0,0,0.32,1.56,29.94
30,10.25,5.71,0,0,0,2.02,3.75,7.92,9.49,20.04,0,1.05,0.45,4.94,0,128.2,33.25,6.17,34.48,34.21,0.6,6.65,0,3.21,0,0.82,0,0,3.02,0,9.04,31.7
31,4.71,0,0,0,0,0,0,0,2.83,0,0,0,0,2.48,0,0.46,1.85,0.03,0,16.01,0,13.89,0,0,0,0,0,0,3.99,2.97,0,16.03
32,0,6.8,4.22,0,0,5.93,9.04,11.56,13.93,4.79,0,1.67,3.16,0,0,0,61.46,0,20.92,0,5.18,0,0,11.22,0.27,4.07,0.03,1.02,8.3,11.9,5.29,0
