LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
14,0,5.13,2.15,0,0,0.01,1.69,1.36,16.41,0.04,0,0.01,0.04,0,0,0,0.01,0.73,7.39,203.85,0.75,0,0,2.87,0.03,1.46,0.01,0.34,0.72,3.33,0.03,0
15,0,47.94,0,0,0,57.09,53.75,48.86,0,68.41,0,21.34,16.14,0,0,0,0,0,74.87,0,74.63,0,1591.06,45.98,0.83,166.06,1.61,2.7,43.83,155.66,47.29,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,132.9,12.62,9.08,0,0,5.91,8.25,10.84,0,9.73,0,2.16,7.57,7.01,0,0,0,0,0,173.65,1.97,237.52,0,16.19,0.59,7.78,0.02,1.47,8.19,23.16,0.1,698.84
18,100.23,9.22,7.24,0,0,1.85,1.33,7.14,0,0.16,0,0.5,2.02,111.51,0,0,0,0,9.54,666.91,3.11,2191.17,0,9.28,0.52,14.36,0.02,1.66,0.08,14.4,0.09,0
19,99.63,86.24,0,0,0,52.26,85.13,65.98,3.29,143.9,0,82.08,50.58,87.4,0,4.85,6.37,0,0,174.49,64.14,141.85,0,100.64,23.66,145.84,4.05,11.13,46.94,158.96,0.78,184.82
20,159.35,35.45,34.54,0,0,10.86,22.16,23.27,158.16,52.33,0,5.77,17.56,232,0,0,12.06,472.18,132.93,0,137.78,478.22,0,52.35,2.09,152.49,0.61,7.76,15.66,47.48,29.23,0
21,43.32,12.92,8.21,0,0,86.97,0,14.75,34.54,29.36,18.19,32.5,26.92,29.31,0,27.85,56.19,1.52,19.73,194.48,0,38.18,0,248.76,73.39,75.59,26.45,44.46,6.54,3.55,0,68.45
22,0,10.65,22.4,0,0,4.99,5.3,10.82,36.71,1.8,0,5.75,6.91,0,0,0,3.22,1337.2,33.01,114.21,27.45,0,0,28.46,0.21,29.3,0.05,5.56,4.67,11.15,1.61,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,11.5,11.26,8.7,0,0,33.1,0,7.85,10.98,3.92,7.57,85.63,24.53,9.3,0,162.59,31.75,0.64,249.45,60.81,295.84,55.44,0,0,71.3,121.1,0.25,10.73,8.04,3.93,0,58.82
25,1.03,0.39,1.31,0,0,22.52,44.63,0.38,0.41,0,0.36,23.34,25.01,0.62,0,0,1.48,1.04,0.91,4.06,56.18,0.46,0,38.29,0,54.68,0.03,1.89,0,0,0,4.07
26,4.38,4.3,18.44,0,0,30.48,0,1.78,3.28,2.27,4.4,4.48,22.27,5.64,0,226.82,25.15,0.3,86.91,113.03,16.13,93.75,0,89.4,51.1,0,0.39,5.53,2.8,5.69,0,103.41
27,2.14,0.65,0,0,0,15.57,0,0.47,0.73,0.76,1.17,1.05,16.1,1.01,0,44.8,4.72,0.04,7.04,3.36,11.61,0.02,0,3.16,13.81,11.39,0,0.03,0,0,0,1.62
28,3.08,1.97,11.18,0,0,7.52,0,0.7,2.53,0.7,2.13,2.23,12.36,3.1,0,77.61,9.7,0.97,11.46,6.95,9.45,45.36,0,8.84,10.71,11.49,0.05,0,5.36,2.21,0,10.4
29,38.65,15.2,0,0,0,6.26,4.56,14.4,23.27,10.56,0,0.65,0,18.98,0,360.24,83.71,0.7,26.22,136.49,3.57,0.19,0,5.46,0,3.01,0,0,0,1.14,6.67,130.64
30,54.32,30.19,0,0,0,6.28,17.08,24.65,42.82,81.28,0,3.12,10.45,26.83,0,717.46,181.12,26.23,154.48,194.57,3.59,18.97,0,12.42,0,5.07,0.02,0.02,11.37,0,34.95,182.41
31,20.76,0,0,0,0,0,0,0,10.94,0,0,0,0,12.39,0,2.8,7.53,0.16,0,79.3,0,37.67,0,0,0,0,0,0,20.46,10.33,0,75.6
32,0,33.77,11.87,0,0,15.09,27.18,34.17,45.87,19.32,0,5.2,14.23,0,0,0,211.31,0,59.82,0,11.14,0,0,31.7,0.96,10.49,0.07,2.66,28.23,33.92,16.84,0
