LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,8.24,3.85,0,0,0.02,1.99,7.29,33.41,0.08,0,0.01,0.66,0,0,373.77,67.81,8.02,8,86.82,2.26,0,0,3.51,0.03,1.62,0.01,0.43,0.71,2.11,0.05,0
2,27.06,0,2.85,0,0,0.01,1.05,1.35,20.95,21.38,4.06,0.73,0.01,16.19,0,85.47,41.32,0.05,26.77,41.96,0.77,10.04,0,4.85,0.03,0.04,0.01,0.02,7.46,5.98,0.07,37.48
3,9.95,4.35,0,0,0,7.37,0,1.65,5.97,0,0,0.02,13.86,4.88,0,0,20.95,9.5,0,59.74,17.83,57.56,0,15.31,1.14,20.97,0,3.09,0,0,0,52.43
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.48,1.24,0.76,0,0,0,0,1.08,0.4,0.38,1.24,0.78,16.57,0.41,0,219.53,1.2,0.18,22.18,73.02,143.2,0.05,0,100.62,61.53,76.8,0.09,0.11,0.3,0,0,30.02
7,9.48,7.31,6.63,0,0,0,0,6.87,8.71,3.06,6.33,11.84,0,8.39,0,89.03,23.58,0.56,23.65,35.84,0,30.41,0,0,46.07,0,0,0,4.99,2.89,0,26.68
8,33.91,2.96,3.07,0,0,0.11,1.16,0,28.52,28.7,7.8,0.76,1.55,28.46,0,180.91,54.43,10.23,45.26,91.31,0.98,50.09,0,5.18,0.19,1.3,0.01,0.39,10.87,12.69,0.08,80.5
9,66.02,8.46,4.08,0,0,0.01,2.14,6.98,0,0.57,0,0.03,0.56,26.93,0,0,0,0,8.36,171.76,3.15,168.13,0,4.96,0.08,2.5,0.01,0.41,0.73,9.38,0.06,139.67
10,16.86,29.81,0,0,0,12.35,24.58,27.73,13.19,0,0,4.2,14.02,9.77,0,128.84,38.75,0.27,42.49,58.89,7.33,12.63,0,14.95,0.5,6,0.05,1.21,20.63,13.12,0,44.96
11,0,4.95,0,0,0,0.78,1.25,3.7,0,0,0,0.8,1.05,0,0,0,0,0,0,0,0.09,0,0,0.57,0.16,0.14,0.02,0.02,0,0,0,0
12,0.62,0.34,0.13,0,0,1.95,6.44,0.31,0.57,0.1,0.35,0,1.53,0.22,0,57.65,0.48,0.05,9.11,8.39,0.5,0.02,0,27.72,30.73,0.51,0.03,0.18,0.51,0,0,0.46
13,0.96,0.27,2.77,0,0,3.38,0,0.34,0.27,0.26,0.79,0.51,0,0.02,0,0.81,2.47,0.4,1.77,3.16,1.43,7.16,0,4.47,1.3,2.22,0.02,1.19,0,0.73,0,3.12
