HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.96,5.17,1.57,0,0.44,0.78,3.5,39.66,2.96,0,0.65,0.46,0,0,168.1,87.5,107.57,27.01,109.17,0.66,0,0,0.06,0.21,0.63,0.07,0.36,0.32,12.9,0.56,0
2,7.34,0,2.13,0.37,0,0.18,1.22,1.71,7,9.64,3.23,0.35,0.43,5.67,0,25.6,31.26,25.61,24.57,34.64,0.87,5.48,0,0.67,0.24,0.05,0,0.22,2.14,1.06,0,13.61
3,5.23,2.14,0,1.87,0,6.13,6.44,1.52,4.61,6.15,4.85,16.23,2.05,2.67,0,42.35,11.28,15.35,41.41,43.57,6.69,38.99,0,5.5,0.63,10.98,0,3.25,0.73,0,0,22.04
4,1.59,0.38,1.87,0,0,5.76,0,0.37,1.42,1.77,1.54,5.96,3.23,0.84,0,19.58,3.62,5.34,13.8,16.43,4.74,14.88,0,21.46,2.05,7.26,0,3.43,0.16,1.05,0,7.37
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.42,0.27,6.18,5.8,0,0,0,0.32,2.24,2.12,1.08,6.17,12.03,1.3,0,87.09,26.84,22.35,51.54,71.36,83.51,19.15,0,46.33,21.8,33.33,0.4,7.62,0.56,3.99,0,18.23
7,3.92,0.85,6.41,0,0,0,0,0.78,3.36,5.37,1.49,11.12,0,2.24,0,52.46,34.36,30.62,38.09,55.76,0,12.59,0,0,27.2,0,0,0,3.43,2.39,0,16.63
8,11.56,1.73,1.53,0.38,0,0.24,1.19,0,11.17,16.63,4.91,0.87,0.31,8.07,0,49.34,44.68,34.58,17.3,49.48,2.02,23.52,0,0.59,0.02,0.03,0,0.17,5.19,1.43,0,26.03
9,39.95,0.67,4.58,1.4,0,1.37,0.94,2.69,0,4.16,0,0.83,0.51,15.94,0,0,0,0,23.36,148.71,1.66,133.75,0,0.57,0.38,0.76,0.07,0.62,0.26,22.59,2.3,50.78
10,9.64,15.31,6.08,1.75,0,2.6,15.45,24.25,11.67,0,0,3.4,0.56,4.47,0,77.99,50.53,48.81,73.76,99.07,18.59,61.47,0,5.54,0.43,2.32,0.05,1.9,6.35,43.94,0,29.6
11,0,3.24,4.82,1.53,0,0.97,1.97,4.86,0,0,0,1.11,0.48,0,0,0,0,0,0,0,2.75,0,0,5.05,0.11,0.54,0.01,0.64,0,0,0,0
12,0.5,0.37,16.06,5.89,0,5.4,11.05,0.91,0.66,1.02,1.13,0,0.82,0.2,0,21.08,16.3,13.04,40.94,38.89,5.15,10.14,0,53.57,22.46,2.19,0.08,2.62,0.18,4.95,0,1.32
13,0.81,0.49,2.03,3.19,0,11.88,0,0.35,0.79,0.48,0.55,0.79,0,0.45,0,5.93,13.33,5.58,4.91,14.37,22.22,4.46,0,8.9,11.03,4.13,0.05,4.65,0.02,0.99,0,1.43
14,0,0.3,2.65,0.83,0,0.67,0.4,0.75,15.88,1.9,0,0.36,0.4,0,0,0,13.97,157.27,8.64,206.79,0.14,0,0,0.2,0.22,0.4,0.06,0.41,0.19,9.81,0.98,0
15,0,13.59,57.68,25.69,0,92.89,49.81,32.22,0,65.01,0,26.3,8.79,0,0,0,0,0,102.84,0,209.08,0,705.18,37.62,3.72,451.12,0.67,20.3,74.54,523.88,37.54,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,98.68,34.53,11.18,3.6,0,32.1,41.67,49.24,0,48.45,0,29.43,11.53,21.15,0,0,0,0,0,59.33,56.68,54.2,0,35.04,0.83,28.38,13.9,22.6,60.92,99.32,13.63,290.66
18,84.06,11.34,10.67,3.63,0,6.16,15.23,17.45,0,18.28,0,5.1,1.7,151.28,0,0,0,0,20.03,648.79,18.06,1932.23,0,4.28,0.77,13.63,0.02,3.11,22.83,49.44,5.37,0
19,45.61,30.58,32.41,9.72,0,48.56,42.05,27.14,23.54,77.01,0,54.21,3.41,27.2,0,0,0,20.21,0,175.97,56.44,177.37,0,100.55,2.89,70.41,2.56,15.92,26.83,83.43,0,136.24
20,125.64,39.29,40.73,15.29,0,73.95,64.63,54.91,167.17,95.39,0,55.47,20.79,194.47,0,0,93.36,663.09,166.65,0,410.3,330.78,0,49.71,2.82,142.3,18.49,39.02,76.02,130.96,87.02,0
21,1.06,1.4,6.63,4.71,0,48.84,0,2.61,1.9,4.69,3.52,4.09,18.11,0.37,0,187.23,41.94,29.71,51.38,388.15,0,26.67,0,598.71,65.47,33.44,13.7,23.62,2.22,5.37,0,29.29
22,0,13.46,38.66,14.74,0,29,22.47,32.61,151.83,63.13,0,9.67,4.18,0,0,0,112.8,2192.38,175.26,319.12,50.46,0,0,14.59,0.14,26.35,0.22,8.75,13.62,59.21,60.99,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.37,1.93,5.54,21.42,0,54.11,0,1.66,2.47,5.92,6.72,67.75,8.99,1.22,0,60.57,38.2,30.56,138.98,52.82,609.61,13.81,0,0,28.66,95.24,0.23,10.62,2.27,2.9,0,22.52
25,0.21,0.26,0.63,2.07,0,11.49,20.65,0.04,0.37,0.44,0.12,22.24,3.77,0.22,0,2.86,0.84,0.89,0.56,2.94,60.87,0.14,0,11.12,0,14.44,2.29,4.94,0,0,0,1.58
