HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.29,3.19,1.12,0,1.32,0.73,0.77,28.27,2.6,0,0.73,0.22,0,0,166.59,47.99,59.29,32.91,83.34,1.44,0,0,1.04,0,0.85,0.09,0.71,0.2,4.84,1.22,0
2,3.68,0,1.7,0.28,0,0.88,1.56,0.98,3.09,7.67,2.12,0.72,0.19,3.11,0,11.63,13.25,15.35,34.46,14.73,1.91,3.51,0,1.3,0.24,1.3,0,0.32,0.1,2.63,0,9.67
3,2.46,1.51,0,1.37,0,4.04,4.09,1.08,2.04,2.92,2.69,12.24,1.09,1.02,0,17.99,5.68,5.48,24.47,18.24,4.02,23.8,0,3.89,0.25,5.29,0,2.13,0.36,0,0,10.98
4,0.77,0.2,1.29,0,0,4.07,0,0.48,0.63,0.85,0.61,3.93,1.61,0.33,0,8.51,1.46,2.65,7.77,7.05,3.48,8.78,0,13.02,2.12,4.6,0,2.39,0.07,0.45,0,4.09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.95,0.54,3.3,3.39,0,0,0,0.56,2.57,3.78,1.64,5.04,4.85,1.79,0,29.92,3.99,3.75,29.44,16.99,61.26,12.79,0,21.65,12.26,24.83,0.47,4.53,0.63,1.92,0,7.07
7,1.37,0.22,4.71,0,0,0,0,0.18,1.08,3.17,0.67,6.59,0,1,0,17.1,11.85,16.66,38.99,20.45,0,5.74,0,0,20.09,0,0,0,0.1,1.61,0,8.32
8,5.75,0.76,1.01,0.48,0,0.89,1.43,0,5.11,11.73,2.91,0.73,0.1,4.27,0,24.93,18.69,22.05,36.55,24.24,2.66,6.44,0,1.07,0.15,1,0,0.1,0.18,3.29,0,17.52
9,22.75,0.46,2.44,0.85,0,1.25,0.63,0.64,0,2.68,0,0.83,0.02,9.8,0,0,0,0,6.09,71.72,1.17,52.82,0,0.88,0,1.41,0.08,0.48,0.23,6.39,1.81,18.8
10,2.86,8.99,3.8,1.11,0,2.94,5.28,13.61,4.56,0,0,1.64,0.23,1.45,0,32.1,20.8,24.64,61.76,43.19,12.07,11.89,0,0.57,0,4.32,0.1,2.46,0,28.88,0,16.28
11,0,2.09,3.07,0.75,0,1.61,1.97,3.78,0,0,0,0.65,0.45,0,0,0,0,0,0,0,4.26,0,0,6.63,0.17,2.87,0.4,1.09,0,0,0,0
12,1.78,1.37,16.67,5.46,0,7.11,8.14,2.62,2.59,3.61,2.51,0,2.88,1.03,0,0.06,4.14,2.94,47.17,8.22,8.82,7.85,0,50.82,14.41,5.3,2.6,5.03,0.39,3.92,0,4.66
13,0.92,0.21,1.3,2.17,0,6.85,0,0.27,0.67,1.04,0.51,2.14,0,0.77,0,1.71,1.33,1.5,10.65,3.71,10.61,2.57,0,9.61,5.66,3.9,0.1,3.84,0.19,0.47,0,2.43
14,0,0.26,1.39,0.5,0,0.6,0.4,0.52,11.02,1.43,0,0.27,0.21,0,0,0,0.46,63.18,20.37,112,1.54,0,0,0.61,0,0.3,0,0.49,0.18,5.69,0.91,0
15,0,23.13,28.45,14.18,0,70.23,36.32,47.59,0,50.61,0,26.82,3.85,0,0,0,0,0,0,0,352.51,0,231.32,46.96,0,396.39,9.26,27.28,109.84,262.02,42.52,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,58.32,17.33,5.13,1.4,0,7.59,22.95,30.16,0,31.71,0,14.64,1.23,0.85,0,0,0,0,0,18.25,33.23,0.28,0,19.55,0,8.59,0.41,2.59,38.21,40.95,0,174.65
18,33.04,2.2,4.13,1.46,0,3.53,2.56,3.31,0,5.09,0,3.25,0.57,58.82,0,0,0,0,0,253.03,1.9,962.15,0,1.23,0,6.52,0.06,3.03,1.27,13.38,2.74,0
19,26.64,21.75,28.79,10.2,0,36.14,27.83,20.92,24.27,41.95,0,35.41,3.17,17.43,0,0,0,8.94,0,73.92,29.86,58.06,0,77.56,0.5,38.41,0.29,6.6,11.65,73.13,0,73.41
20,89.1,22.35,20.65,8.18,0,30.83,29.81,34.54,84.16,45.73,0,22.01,2.54,113.35,0,0,54.59,275.95,90.58,0,272.22,121.54,0,28.86,0,66.47,0.57,10.11,46.06,47.69,46.06,0
21,1.27,0.36,5.15,4.63,0,44.57,0,0.15,1.29,2.11,0.94,1.44,14.45,1.52,0,245.08,13.38,19.44,45.21,217.2,0,13.98,0,382.17,44.99,59.85,15,21.68,0.11,3.43,0,15.31
22,0,6.33,1.58,12.1,0,56.43,18.63,15.5,101.33,18.39,0,13.52,5.02,0,0,0,114.86,1171.6,130.41,159.74,37.12,0,0,31.88,0,38.48,1.57,27.87,4.71,1.13,29.38,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.08,0.65,3.22,14.13,0,45.27,0,0.58,0.92,4.6,1.95,43.14,6.67,0.71,0,29.49,14.4,18.09,94.21,22.24,419.06,3.84,0,0,24.81,46.19,2.76,5.85,0.29,1.56,0,14.28
25,0.1,0.18,0.22,2.51,0,35,28.22,0.13,0.39,0.18,0.03,21.94,2.48,0.05,0,1.21,0.36,0.88,1.69,1.15,53.04,0.18,0,35.98,0,20.31,3.25,6.84,0.06,0,0,0.85
26,2.88,1.07,6.38,5.74,0,37.46,0,1.28,3.34,4.5,1.83,3.59,4.75,2.55,0,275.11,6.38,18.86,53.5,74.93,58.41,15.58,0,54.22,22.62,0,4.93,13.28,0.81,3.68,0,7.67
27,0.53,0.08,0,0,0,0.26,0,0.09,0.21,1.02,0.09,0.72,0.06,0.53,0,0.01,0.03,0.16,7.57,0.19,33.58,3.01,0,1.98,5.89,0.7,0,0.48,0,0,0,2.25
28,1.7,0.49,1.82,2.16,0,2.62,0,0.34,1.21,2.59,0.81,3.12,1.56,1.08,0,0.08,1.38,0.23,14.11,3.53,39.11,7.16,0,3.67,7.84,4.73,0.19,0,0.06,1.15,0,4.45
29,5.06,1.32,0.41,0.12,0,0.15,2.6,3.88,3.25,2.34,0,0.21,0.13,1.17,0,41.63,26.12,25.07,17.32,34.47,1.11,12.37,0,0.34,0,0,0,0.11,0,1.01,2.13,26.39
30,11.69,11.3,0,0,0,0,0,18.27,14.33,32.92,0,0,0,6.33,0,166.07,50.56,50.08,87.14,67.04,0,38.3,0,0,0,0,0,0,0.39,0,19.82,53.39
31,1.22,0,0,0,0,0,0,0,1.37,0,0,0,0,0.87,0,24.65,7.38,15.39,0,36.01,0,13.01,0,0,0,0,0,0,0.31,5.86,0,17.21
32,0,11.09,16.2,6.11,0,10.44,12.33,22.02,45.33,21.19,0,2.08,2.38,0,0,0,233.2,0,106.84,0,33.43,0,0,15.12,0,16.03,1.79,4.22,35.7,30.28,25.34,0
