LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,3.29,11.5,4.56,0,6.7,2.31,4.89,80.42,6.44,0,1.88,0.39,0,0,389.95,165.98,198.06,109.54,313.19,2.65,0,0,8.81,0.75,5.78,0.27,4.08,0.67,24.25,6.63,0
2,14.15,0,4.81,1.14,0,3.56,4.4,4.29,13.88,26.87,6.55,1.91,0.69,11.46,0,45.12,52.57,64.34,109.75,66.56,7.67,10.89,0,5.5,1.78,14.2,0.1,0.6,1.5,10.41,0,34.41
3,6.98,4.02,0,4.09,0,14.84,10.78,3.27,6.7,7.24,7.04,24.66,4.26,3.97,0,50.92,16.7,21.13,59.17,61.28,12.45,49.17,0,10.02,1.42,38.28,0,9.01,0.81,0,0,29.57
4,2.75,0.74,3.99,0,0,11.95,0,0.97,1.89,2.26,2.03,7.81,5.2,1.53,0,21.12,4.92,8.04,19.31,23.8,7.28,20.5,0,34.63,4.84,30.48,0,6.58,0.63,1.92,0,9.14
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.97,1.84,11.72,9.25,0,0,0,1.8,7.07,9.17,5.42,9.71,14.51,5.46,0,72.93,11.89,17.27,62.07,55.53,154.22,40.02,0,48.42,30.94,120.38,1.12,15.55,2.41,6.17,0,21.79
7,4.16,0.79,13.44,0,0,0,0,1.05,3.94,11.34,2.5,15.02,0,3.75,0,51.47,38.44,55.3,113.45,76.73,0,22.06,0,0,72.91,0,0,0,1.39,4.92,0,23.78
8,15.65,2.88,2.82,0.68,0,2.42,4.51,0,13.88,27.82,6.93,2.07,0.88,11.47,0,62.54,53.9,61.52,87.37,72.51,6.95,12.95,0,2.98,0.66,6.32,0.1,0.75,0.68,7.7,0,46.75
9,57.74,2.85,8.5,2.62,0,5.94,2.17,4.71,0,6.18,0,2.21,0.5,25.96,0,0,0,0,38.67,244.09,5.41,125.63,0,7.38,1.12,7.9,0.08,3.34,0.63,32.6,8.93,47.29
10,7.92,32.35,11.01,3.54,0,9.26,19.47,39.94,13.33,0,0,2.89,0.98,5.4,0,99.61,76.24,85.96,192.5,162.65,31.41,50.24,0,9.32,1.36,30.36,0.3,7.73,1.11,83.57,0,47.21
11,0,6.15,8.31,2.59,0,6.46,5.93,10.68,0,0,0,1.45,2.28,0,0,0,0,0,0,0,9.18,0,0,24.48,0.38,22.7,1.3,4.17,0,0,0,0
12,5.51,3.67,35.21,11.14,0,16.52,18.88,6.99,7.22,8.18,6.28,0,6.24,3.13,0,0.14,12.29,10.23,103.65,32.93,22.88,29.71,0,113.94,40.41,27.56,6.08,12.72,2.92,9.51,0,13.01
13,2.25,0.88,8.39,8.25,0,30.93,0,2.18,3.25,3.54,4.57,5.66,0,1.77,0,4.88,5.08,7.41,43.18,16.4,29.52,10.84,0,34.8,33.57,34.74,0.39,15.73,1.53,6.41,0,7.56
14,0,1.27,6.07,2.05,0,3.48,2.16,2.16,32.92,5.16,0,1.38,0.07,0,0,0,1.75,168.74,71.01,363.3,0.55,0,0,5.36,0.1,12.6,0.16,2.5,0.67,25.04,4.6,0
15,0,123.83,137.36,64.58,0,350.46,152.44,225.63,0,183.2,0,98.15,14.13,0,0,0,0,0,559.68,0,124.72,0,542.66,354.77,10.5,139.31,35.37,148.73,488.62,1037.68,199.44,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,174.9,82.31,25.88,8.53,0,42.58,91.93,117.82,0,116.01,0,61.59,6.53,3.41,0,0,0,0,0,91.24,94.5,0.85,0,91.82,1.86,54.9,1.47,17.69,131.42,213.82,35.71,469.44
18,105.35,11.36,20.86,7.78,0,28.07,12.82,19.59,0,23.47,0,11.64,3.84,124.66,0,0,0,0,35.72,941.6,8.03,2541.83,0,33.13,1.65,41.91,0.25,17.45,4.38,80.71,8.61,0
19,69.86,75.11,54.82,18.21,0,107.95,72.85,65.19,63.16,108.13,0,70.14,1.82,47.96,0,0,0,23.4,0,263.51,27.83,223.81,0,204.94,5.76,38.21,0.79,18.7,36.61,188.81,0,201.23
20,277.19,101.67,79.13,36.08,0,141.3,110.88,145.49,330.39,155.4,0,72.42,9.26,404.21,0,0,249.44,1065.78,368.54,0,127,381.4,0,136.16,6.17,117.52,2.07,49.56,178.52,242.73,170.11,0
