HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.81,1.04,0,0,0.01,0.53,2.46,9.99,0.02,0,0.01,0.15,0,0,84.54,17.15,1.46,2.19,20.44,0.59,0,0,0.78,0,0.26,0,0.32,0.21,1.5,0.02,0
2,5.81,0,0.57,0,0,0,0.24,0.38,4.23,4.9,0.95,0.25,0.04,3.36,0,13.81,7.54,0.22,4.32,7.32,0.31,2.3,0,0.8,0.13,0.3,0,0,0.39,1.08,0,7.38
3,2.44,0.95,0,0,0,0,0,0.53,1.79,0,0,0,0.98,1.27,0,0,5.07,2.84,0,14.54,4.66,20.33,0,3.95,0.14,8.62,0,1.08,0,0,0,13.22
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.1,0.29,0,0,0,0,0,0.43,0.1,0.08,0.33,0.31,2.46,0.09,0,45.5,0.24,0.03,4.24,16.3,48.42,0.01,0,31.41,25.03,41.5,0.03,0.03,0.1,0,0,6.37
7,2.14,1.72,1.73,0,0,0,0,1.78,2.4,0.71,1.82,4.63,0,2.12,0,17.84,5.17,0.53,4.95,9.43,0,11.69,0,0,17.04,0,0,0,1.92,0.58,0,6.12
8,8.03,0.77,0.66,0,0,0.04,0.23,0,7.82,7.97,2.24,0.27,0.36,5.72,0,31.58,12.43,2.04,8.18,18.47,0.03,14.25,0,0.99,0.06,0.76,0,0.07,3.08,3.34,0.02,17.25
9,19.05,1.41,1.16,0,0,0.01,0.49,2.48,0,0.14,0,0.01,0.14,6.54,0,0,0,0,2.06,34.27,0.84,55.82,0,1.01,0.12,1.94,0,0.37,0.19,2.7,0.02,29.34
10,3.78,6.14,0,0,0,3.92,5.85,9.3,3.33,0,0,1.4,2.02,2.03,0,22.57,7.76,0.05,10.71,13.46,2.61,4.39,0,4.55,0.1,2.6,0.02,0.35,3.75,3.99,0,9.69
11,0,1.21,0,0,0,0.27,0.3,1.32,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0.04,0,0,0.2,0.03,0.06,0,0,0,0,0,0
12,0.12,0.11,0.02,0,0,0.87,2.28,0.14,0.16,0.03,0.13,0,0.39,0.06,0,11.75,0.09,0.01,2.43,2.13,0.22,0,0,10.71,11.57,0.3,0.01,0.08,0.1,0,0,0.1
13,0.1,0.09,0.55,0,0,1.01,0,0.23,0.07,0.09,0.09,0.22,0,0.02,0,0.19,0.45,0.52,0.3,0.6,0.63,3.01,0,1.38,0.47,1.36,0,0.8,0,0.24,0,0.9
14,0,1,0.58,0,0,0.01,0.41,0.41,4.79,0.01,0,0,0.11,0,0,0,0,15.88,1.95,50.14,0.58,0,0,0.52,0,0.3,0,0.19,0.18,1.4,0.01,0
15,0,8.91,0,0,0,23.5,15.77,15.77,0,16.61,0,7.72,4.05,0,0,0,0,0,57.19,0,19.32,0,434.76,17.48,0.12,30.36,0.55,1.05,12.05,56.35,16.61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,30.92,2.1,2.32,0,0,1.81,2.09,3.6,0,1.92,0,0.57,1.42,1.42,0,0,0,0,0,31.94,0.53,86.23,0,4.2,0.18,1.25,0.01,0.49,1.93,7.46,0.03,154.12
18,23.29,1.67,1.69,0,0,0.67,0.29,2.43,0,0.04,0,0.16,0.6,23.71,0,0,0,0,2.52,146.63,0.49,703.91,0,1.96,0.08,2.41,0,0.44,0.02,3.46,0.02,0
19,19.43,17.65,0,0,0,15.2,17.42,20.77,0.72,31.47,0,26.96,6.43,16.55,0,381.8,1.32,0,0,29.89,7.89,50.04,0,30.98,4.1,10.16,0.88,3.22,9.28,43.6,0.18,34.57
20,36.27,5.48,9.37,0,0,3.7,5.57,8.22,44.95,11.43,0,1.62,3.78,66.81,0,0,1.78,124.02,31.62,0,34.44,103.85,0,13.44,0.66,22.86,0.17,3.06,4.12,17.22,8.09,0
21,13.41,3.33,2.17,0,0,47.57,0,7.67,19.83,13.1,8.61,17.09,12.43,11.65,0,2.65,13.19,0.03,3.27,58.77,0,29.48,0,332.49,53.01,44.22,13.15,25.7,2.74,2.25,0,33.51
22,0,1.94,8.26,0,0,2.5,2.04,3.09,8.98,0.46,0,2.13,2.07,0,0,0,0.81,379.23,10.95,27.24,14.43,0,0,10.43,0.07,17,0.03,3.39,1.72,3.59,0.52,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.53,2.2,2.31,0,0,12.24,0,2.85,2.77,1.02,2.24,30.68,5.72,2.2,0,34.5,7.45,0.92,45.66,15.46,247.23,23.97,0,0,28.79,57.52,0.07,1.94,0.44,0.98,0,12.15
25,0.13,0.38,0.21,0,0,6.62,8.97,0.09,0.25,0,0.07,7.05,4.71,0,0,0,0.35,0.22,0.15,1.05,24.1,0.16,0,11.05,0,22.2,0.01,0.27,0,0,0,0.7
26,1.38,1.9,6.76,0,0,22.76,0,1.2,2.54,0.66,1.94,2.12,8.42,2.46,0,54.53,3.8,0.83,4.99,17.75,9.81,58.1,0,52.14,29.2,0,0.18,3.54,1,3.04,0,35.76
27,0.52,0.08,0,0,0,4.92,0,0.16,0.18,0.17,0.36,0.4,2.61,0.2,0,9.44,1.01,0.01,1.45,0.77,4.94,0,0,0.98,5.76,5.86,0,0.01,0,0,0,0.36
