HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.01,5.32,1.63,0,0.71,0.86,3.71,39.29,3.21,0,0.45,0.66,0,0,178.32,86.12,110.24,29.16,116.84,0.57,0,0,0.06,0.29,0.28,0.07,0.73,0.32,15.55,0.71,0
2,7.39,0,2.27,0.37,0,0.23,1.27,1.78,7.14,9.92,3.22,0.56,0.3,5.76,0,28.1,31.39,26.22,22.6,38.07,1.78,7.83,0,1.12,0.32,0.04,0,0.22,2.43,1.05,0,14.04
3,5.37,2.28,0,1.88,0,6.97,6.08,1.67,4.68,6.22,4.57,15.86,2.4,2.66,0,45.62,11.28,17.19,36.86,47.11,9.11,38.47,0,5.21,0.43,21.4,0,3.84,0.43,0,0,21.82
4,1.65,0.38,1.89,0,0,6.11,0,0.43,1.43,1.76,1.27,5.81,3.44,0.76,0,19.59,3.25,5.99,12.16,17.21,7.24,14.37,0,19.56,2.27,13.92,0,3.65,0.16,1.02,0,7.38
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.7,0.33,7.02,6.15,0,0,0,0.26,2.9,2.57,1.32,7.25,14.08,1.74,0,102.56,27.54,26.33,47.42,83.73,95.13,24.66,0,51.32,21.8,71.88,0.4,9.56,1.36,4.18,0,20.51
7,3.99,0.9,6.05,0,0,0,0,0.92,3.34,5.24,1.61,10.85,0,2.39,0,52.21,34.51,32,33.86,60.98,0,11.81,0,0,27.2,0,0,0,3.94,2.5,0,16.38
8,11.77,1.8,1.67,0.43,0,0.18,1.33,0,11.47,16.92,5.19,0.8,0.31,8.21,0,52.79,44.68,35.08,16.72,54.47,3.05,25.11,0,1.12,0.02,0.38,0,0.32,5.18,1.42,0,26.73
9,39.57,0.81,4.65,1.42,0,2.02,0.92,2.99,0,4.13,0,0.54,0.59,15.73,0,0,0,0,21.74,153.9,2.31,134.98,0,0.35,0.28,2.42,0.07,1.1,0.26,23.25,2.28,49.95
10,9.89,15.59,6.15,1.74,0,3.05,15.32,24.55,11.65,0,0,3.25,0.84,4.47,0,82.09,50.46,48.79,68.45,104.23,25.35,62.07,0,5.42,0.43,4.96,0.05,2.68,6.28,45.65,0,29.34
11,0,3.23,4.55,1.26,0,1.2,2.09,5.14,0,0,0,1.19,0.55,0,0,0,0,0,0,0,4.78,0,0,5.29,0.1,1.32,0.01,1.15,0,0,0,0
12,0.3,0.57,15.7,5.74,0,6.47,10.78,0.84,0.37,0.87,1.21,0,0.77,0.44,0,22.41,16.23,14.49,35.48,38.79,7.74,14.54,0,49.29,22.46,5.84,0.08,4.55,1.07,4.44,0,1.16
13,1.02,0.36,2.37,3.4,0,13.9,0,0.35,0.87,0.76,0.62,0.72,0,0.3,0,5.96,13.24,6.49,5.16,17.92,30.56,4.95,0,11.12,11.47,9.38,0.05,6.51,0.31,0.97,0,1.64
14,0,0.38,2.63,0.75,0,1.11,0.54,0.89,15.67,1.9,0,0.59,0.26,0,0,0,13.97,157.27,12.96,210.33,0.95,0,0,0.18,0.07,1.02,0.06,0.57,0.19,10.62,0.89,0
15,0,13.65,58.47,24.47,0,104.57,46.61,32.22,0,64.03,0,25.66,9.16,0,0,0,0,0,237.1,0,62.72,0,726.1,37.62,4.32,137,0.67,32.98,74.54,576.85,42.12,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,97.33,34.66,11.18,3.22,0,32.76,41.83,49.34,0,48.39,0,29.36,11.45,21.15,0,0,0,0,0,63.48,56.13,54.2,0,35.22,0.88,26.49,13.9,23.51,60.92,103.9,13.41,278.44
18,83.5,11.66,11.48,3.58,0,8.23,15.8,17.45,0,16.43,0,5.91,2.09,163.82,0,0,0,0,18.43,648.17,19.01,1845.25,0,4.67,0.9,16.29,0.02,4.56,22.83,51.02,5.37,0
19,46.36,28.13,28.21,8.54,0,44.68,38.32,25.59,21.91,71.29,0,49.13,3.39,28.22,0,0,0,18.6,0,203.73,28.22,244.27,0,92.51,4.13,21.12,2.36,14.65,24.37,75.99,0,144.84
20,135.72,44.06,45.13,16.81,0,88.72,70.89,61.03,174.02,103.34,0,57.67,25.25,186.44,0,0,99.9,646.62,223.82,0,180.14,345.82,0,54.07,2.42,90.49,19.78,48.57,81.34,163.56,93.29,0
21,1.07,2.5,9.07,7.22,0,72.82,0,3.85,2.78,6.68,5.79,6.32,25.06,1.3,0,62.18,41.34,31.86,25.69,166.61,0,35.57,0,776.66,88.38,60.71,18.5,35.37,3.81,7.49,0,38.6
22,0,15.74,38.11,14.23,0,34.44,21.68,33.77,151.61,62.82,0,13.38,4.69,0,0,0,112.8,2029.8,282.14,341.82,70.52,0,0,14.49,0.15,51.74,0.22,14.09,13.53,59.74,60.12,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.37,2.17,5.25,19.26,0,58.94,0,2.19,2.24,5.79,6.95,63.47,11.27,1.2,0,64.81,38.38,31.7,137.12,56.53,785.85,13.69,0,0,28.66,185.9,0.23,14.79,2.7,2.96,0,22.39
25,0.3,0.34,0.43,2.3,0,11.49,20.65,0.04,0.29,0.44,0.11,22.24,4.3,0.07,0,3.37,0.89,1.41,2.13,2.48,82.17,0.15,0,11.12,0,28.88,2.29,4.94,0.07,0,0,1.57
26,1.9,0.14,22.2,13.8,0,66.32,0,0.7,3.82,2.96,1.66,6.14,8.48,2.16,0,209.12,19.95,36.42,20.1,89.92,70.75,53.98,0,163.6,45.22,0,0.22,12.32,1.84,10.08,0,34.24
27,0.02,0.06,0,0,0,3.78,0,0.07,0.01,0.21,0.08,0.07,0.05,0.01,0,14.93,12.22,1.42,1.2,15.72,33.83,0.15,0,0.25,10.73,0.6,0,0.03,0,0,0,0.28
28,0.63,0.23,3.86,3.67,0,3.91,0,0.34,1,1.77,1.17,4.58,5.89,0.47,0,36.34,11.09,8.55,4.29,33.76,34.65,13.42,0,5.56,7.05,11.32,0.04,0,0.7,2.57,0,4.29
29,10.55,2.35,0.43,0.15,0,0.96,3.54,4.92,6.92,3.92,0,0.99,0.31,1,0,95.93,59.59,49.27,18.44,79.88,3.7,12.84,0,0.5,0.07,1.86,0,0.5,0,0.7,1.68,44.11
30,25.54,9.75,0,1.02,0,4.14,2.51,13.68,27.95,53.58,0,4.47,0.98,12.52,0,416.7,114.07,112.21,80.4,183.84,7.64,60.45,0,2.92,0,10.06,0,2.56,0.76,0,17.25,105.52
31,8.75,0,0,0,0,0,0,0,8.49,0,0,0,0,3.36,0,57.67,13.6,27.37,0,94.02,0,59.65,0,0,0,0,0,0,3.54,10.1,0,35.42
32,0,19.87,21.48,7.25,0,27.92,27.22,33.63,63.34,29.08,0,9.7,2.09,0,0,0,278.13,0,139.77,0,65.49,0,0,21.69,1.55,47.38,0.63,8.32,47.69,96.62,34.83,0
