LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,3.83,14.95,4.98,0,2.78,3.13,10.25,110.59,8.73,0,1.52,1.3,0,0,414.26,279.4,315.68,80.42,368.89,1.66,0,0,0.14,0.7,5.9,0.19,2.23,0.82,39,3.52,0
2,27.38,0,7.7,1.23,0,1.15,4.76,6.22,26.12,37.02,11.88,1.94,1.3,22.65,0,103.93,129.01,95.25,87.92,145.71,4.33,24.14,0,4.21,1.2,3.42,0.01,0.72,16.36,4.01,0,54.37
3,15.31,7.72,0,5.93,0,27.44,19.05,5.04,12.85,16.68,13.37,36.91,16.88,7.63,0,125.14,34.88,51.35,104.41,137.3,32.63,89.84,0,13.75,2.12,64.54,0,21.66,1.44,0,0,61.41
4,5.13,1.27,5.98,0,0,17.76,0,1.34,3.98,4.38,3.99,12.98,10.22,2.27,0,54.27,10.22,18.59,36.13,51.88,15.57,32.15,0,54.9,7.46,41.12,0,10.79,0.93,3.04,0,21.09
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.39,1.43,31.52,18.02,0,0,0,0.98,7.12,5.53,4.38,16.8,38.65,3.95,0,266.25,78.23,74.73,128.5,233.39,207.18,61.23,0,128.11,62.52,188.44,1.14,28.33,3.74,10.82,0,56.72
7,12.69,3.22,18.84,0,0,0,0,2.81,10.19,17.61,5.44,29.23,0,7.23,0,139.53,112.89,100.27,94.74,179.92,0,35.41,0,0,84.33,0,0,0,9.98,7.58,0,48.42
8,32.66,6.25,5.09,1.34,0,0.75,4.25,0,29.6,43.5,14.45,2.1,0.83,24.12,0,162.86,131.84,104.02,52.16,174.91,6.01,61.11,0,3.79,0.13,3.78,0.02,1.07,23.07,4.12,0,81.02
9,112.15,3.38,12.72,3.92,0,4.93,2.94,7.92,0,10.33,0,1.57,2.04,46.31,0,0,0,0,56.69,460.59,4.08,349.74,0,0.69,1.09,5.86,0.17,2.78,0.68,56.98,6.2,148.36
10,31.38,58.82,16.33,4.27,0,6.62,48.64,62.78,32.35,0,0,8.83,2.55,14.25,0,227.06,179.23,153.97,184,317.78,55.76,169.24,0,13.58,1.97,13.88,0.15,5.89,19.08,114.56,0,99.75
11,0,11.99,13.3,3.93,0,4,6.83,14.19,0,0,0,2.44,1.28,0,0,0,0,0,0,0,5.58,0,0,13.75,0.13,3.06,0.03,2.7,0,0,0,0
12,1.14,1.92,36.44,12.74,0,14.91,29.02,2.13,1.13,2.18,2.43,0,2.88,2.59,0,52.53,49.72,37.95,83.43,106.06,14.12,38,0,109.5,57.39,12.98,0.17,9.38,2.8,10.23,0,3.88
13,2.56,1.51,20.4,9.95,0,37.07,0,1.03,2.82,2.33,1.51,2.74,0,0.63,0,15.25,42.52,19.16,11.04,53.23,68.35,13.03,0,26.98,35.74,26.4,0.21,15.3,0.99,3.18,0,4.77
14,0,1.69,7.43,2.18,0,2.07,1.89,2.65,45.77,6.26,0,2.95,0.54,0,0,0,44.61,366.04,37.26,610.56,0.2,0,0,0.56,0.36,8.58,0.17,1.84,0.53,29.62,2.19,0
15,0,48.85,155.13,65.27,0,258.43,124.76,95.02,0,174.09,0,58.4,21.04,0,0,0,0,0,673.57,0,61.27,0,1706.31,95.63,14.67,147.4,1.55,83.08,201.76,1457.49,118.1,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,318.91,141.64,34.24,9.98,0,90.37,135.15,142.68,0,170.42,0,90.94,36.59,74.11,0,0,0,0,0,220.66,119.01,136.81,0,92.59,3.13,85.36,41.52,62.33,174.52,300.92,44.03,888.68
18,256.27,42.54,33.87,11.48,0,23.31,49.95,48.77,0,53.02,0,16.52,6.32,389.92,0,0,0,0,53.07,2031.32,33.23,4914.56,0,13.82,2.94,46.08,0.07,13.07,61.6,140.35,15.24,0
19,131.69,109.04,82.5,26.62,0,119.79,112.03,77.93,57.59,194.6,0,118.75,10.12,81.27,0,0,0,54.54,0,603.92,56.44,576.32,0,232.93,13.39,60.65,6.89,38.61,87.86,226.61,0,415.43
20,429.13,167.83,129.97,50.16,0,237.74,207.23,189.33,514.41,316.28,0,155.06,78.93,585.08,0,0,313.44,2025.46,650.9,0,182.79,1065.53,0,144.34,8.75,226.08,52.22,128.05,237.22,475.68,268.14,0
21,2.81,6.9,33.3,15.38,0,162.34,0,8.09,4.83,11.85,7.61,11.68,55.34,0.85,0,61.97,90.6,55.52,46.81,169.52,0,54.9,0,610.69,159.81,127.4,41.92,71.55,13.78,12.74,0,71.9
22,0,47.76,88.48,31.48,0,78.01,57.66,80.81,391.45,172.29,0,36.14,12.39,0,0,0,275.05,5353.76,656.81,1042.89,99.23,0,0,34.42,0.48,142.8,0.46,32.62,29.49,137.78,153.25,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8.74,7.98,13.93,53.74,0,145.57,0,6.76,5.32,14.74,18.27,142.77,28.32,3.37,0,160.79,103.05,84.77,353.9,154.89,625.25,33.79,0,0,86.17,330.24,0.59,38.12,8.13,7.89,0,59.66
25,0.75,1.34,2.08,7.73,0,32.48,64.64,0.22,1.09,2.02,0.23,57.48,13.63,0.36,0,11.94,3.14,4.44,4.54,8.74,152.15,0.48,0,33.37,0,84.84,6.62,14.02,0.14,0,0,5.42
26,10.48,4.04,68,40.58,0,169.72,0,4.26,9.82,7.8,4.66,14.3,25.32,11.7,0,208.53,67.92,103.11,57.76,222.62,152.13,152.74,0,284.52,130.34,0,0.66,31.28,3.52,26.66,0,112.48
27,0.04,0.19,0,0,0,10.73,0,0.2,0.03,0.61,0.2,0.18,0.21,0.02,0,35.72,37.34,4.29,3.38,42.03,77.44,0.3,0,0.64,31.05,1.76,0,0.09,0.01,0,0,0.76
28,2.02,0.77,21.13,10.9,0,11.79,0,1.12,2.6,3.54,2.8,9.52,13.67,1.6,0,92.54,30.84,25.36,11.46,93.63,72,32.17,0,16.16,20.04,28.58,0.12,0,2.13,6.61,0,11.81
29,27.99,15.59,1.44,0.89,0,2.59,9.17,22.26,18.19,10.49,0,2.58,1.03,2.86,0,268.16,172.76,137.96,65.74,237.95,13.51,27.68,0,1.61,0.13,3.1,0.01,1.43,0,2.28,4.85,127.8
30,68.6,37.29,0,2.99,0,10.6,7.75,38.33,70.24,137.66,0,10.46,3.27,36.1,0,1103.23,338.44,331.95,243.29,547.75,13.23,140.76,0,7.72,0,26.9,0,6.46,2.52,0,46.62,308.49
31,26.17,0,0,0,0,0,0,0,22.87,0,0,0,0,9.81,0,172.69,45.34,78.66,0,274.7,0,153.49,0,0,0,0,0,0,11.6,26.75,0,106.68
32,0,75.09,58.9,20.04,0,73.5,77.45,97.75,183.72,97.53,0,28.66,6.01,0,0,0,867.57,0,386.39,0,114.39,0,0,55.73,5.23,146.14,1.68,21.44,134.44,269.9,101.95,0
