SEGMENT: 1,SCENARIO:  CP_W of Avalon,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GUL,GUL,EL,EL,CORRIDOR,EL,EL,GUL,GUL,EL,EL,GGUL,GUL,EL,EL,EL,EL
DIRECTION,NB/EB,SB/WB,NB/EB,SB/WB,TOTAL,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB,NB/EB,SB/WB
  4:   ,     97,     95,      4,      4,    199,    3.5,    3.6,   0.03,   0.03,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  5:   ,    119,    219,      4,      8,    351,    3.6,    3.6,   0.04,   0.07,   0.00,   0.00,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  6:   ,    287,    587,     45,     90,   1009,   13.7,   13.3,   0.10,   0.19,   0.01,   0.03,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  7:   ,    932,   1519,    211,    543,   3204,   18.5,   26.3,   0.31,   0.50,   0.06,   0.15,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
  8:   ,   1164,   1697,    266,    931,   4058,   18.6,   35.4,   0.39,   0.56,   0.07,   0.26,   45.0,   44.9,   65.0,   65.0,   0.30,   0.30
  9:   ,   1204,   1668,    276,    838,   3987,   18.6,   33.4,   0.40,   0.55,   0.08,   0.23,   45.0,   44.9,   65.0,   65.0,   0.30,   0.30
 10:   ,    774,   1140,    175,    260,   2350,   18.5,   18.6,   0.26,   0.38,   0.05,   0.07,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 11:   ,    781,    963,    175,    218,   2137,   18.3,   18.4,   0.26,   0.32,   0.05,   0.06,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 12:   ,    890,    967,    199,    219,   2274,   18.3,   18.4,   0.29,   0.32,   0.06,   0.06,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
 13:   ,    996,    966,    224,    218,   2404,   18.3,   18.4,   0.33,   0.32,   0.06,   0.06,   45.0,   45.0,   65.0,   65.0,   0.30,   0.30
