LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,7.44,10.07,0.85,0,0.77,2.15,6.55,32.6,5.15,0,1.68,0.94,0,0,342.92,44.58,0.66,9.81,90.88,0.21,0,0,0.06,0,0.97,0.01,0.66,1.04,2.67,2.2,0
2,25.95,0,7.41,0.57,0,0.34,1.05,1.44,20.35,23,4.81,2.69,0.68,15.42,0,70.94,37.4,8.78,26.77,41.31,0.03,9.68,0,0.73,0.78,0.04,0.01,0.02,8.28,6.75,0.07,39.18
3,32.03,12.19,0,8.8,0,27.2,28.32,5.98,21.59,39.26,25.08,156.15,36.62,15.93,0,319.5,53.31,93.52,317.64,239.55,55.56,12.66,0,15.02,3.01,71.89,0,10.89,3.11,0,0,249.09
4,3.29,1.02,8.15,0,0,5.81,0,0.64,2.74,3.23,2.81,14.6,7.96,1.44,0,40.5,5.17,11.6,36.98,32.91,13.1,18.79,0,26.79,9.46,14.83,0,3.36,0.59,1.92,0,25.12
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.08,1.56,32.05,10.08,0,0,0,1.29,4.67,6.88,4.98,30.45,30.89,1.03,0,203.14,5.05,36.09,77.74,103.94,143.2,86.63,0,100.62,61.53,90.44,0.09,4.81,1.12,8.22,0,73.62
7,8.21,6.61,16.1,0,0,0,0,6.77,8.64,4.76,7.2,20.32,0,8.05,0,76.02,19.57,8.89,23.65,40.54,0,23.69,0,0,46.07,0,0,0,5.56,2.54,0,30.76
8,32.76,2.93,8.23,1,0,0.48,1.16,0,27.42,32.89,10.06,4.52,2.11,26.84,0,150.16,52.05,9.03,45.26,91.31,0.08,59.13,0,1.17,0.19,0.45,0.01,0.34,12.14,14.32,0.08,86.03
9,64.37,7.6,10.18,1.07,0,1.02,2.14,6.65,0,7.39,0,2.65,0.59,23.29,0,0,0,0,9.75,171.76,0.17,144.51,0,0.49,0.08,1.15,0.01,0.18,1.81,10.21,2.96,123.81
10,19.52,31.02,13.18,0.87,0,13.69,25.82,29.18,17.76,0,0,7.9,15.34,12.19,0,122.3,48.35,6.16,52.03,90.19,8.99,53.79,0,15.06,0.73,9.29,0.05,1.46,23.46,20.14,0,79.96
11,0,4.95,15.02,1.5,0,1.62,1.65,4.11,0,0,0,2.85,1.89,0,0,0,0,0,0,0,0.09,0,0,3.32,0.16,0.14,0.02,0.13,0,0,0,0
12,0.98,0.58,54.07,4.92,0,9.75,9.59,1.17,1.2,1.85,2.01,0,3.56,0.22,0,47.85,0.48,15.02,12.99,16.25,3.19,30.51,0,28.79,30.73,3.67,0.03,4.06,0.97,3.69,0,6.83
13,0.71,0.38,7.43,2.28,0,6.8,0,0.36,0.06,1.49,1.09,4.45,0,0.07,0,4.54,1.33,3.8,5.6,5.34,2.89,7.73,0,3.67,1.3,3.56,0.02,1.29,0.1,0.83,0,5.08
14,0,4.97,5.89,0.31,0,0.67,1.69,1.26,16.33,3.59,0,0.7,0.39,0,0,0,0.01,29.17,7.39,196.71,0.03,0,0,0.09,0,1.17,0.01,0.01,0.78,4.92,1.11,0
15,0,43.89,113.79,15.57,0,59.94,59.3,42.79,0,93.25,0,40.71,21.8,0,0,0,0,0,72.72,0,96.94,0,1534.11,39.53,1.33,207.56,1.34,7.35,43.29,312.29,59.37,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,91.97,10.66,25.37,2.43,0,6.72,8.55,10.59,0,21.53,0,4.45,7.19,4.91,0,0,0,0,0,121.56,1.97,237.52,0,7.11,0.78,3.07,0.02,0.45,8.91,27.46,0.46,489.19
18,100.23,13.19,16.73,2.28,0,3.61,1.61,11.37,0,6.68,0,9.18,2.05,87.02,0,0,0,0,10.75,592.29,0.88,2615.3,0,0.83,1.32,6.04,0.02,0.72,0.36,15.34,1.68,0
19,122.9,88.77,116.55,12,0,56.53,86.43,68.79,23.74,169.12,0,122.19,61.63,93.51,0,4.03,6.37,4.14,0,274.45,64.14,246.08,0,109.53,44.22,145.84,4.05,13.88,53.32,179.42,0.78,274.97
20,221.7,33.67,97.28,14.67,0,23.41,30.89,23.76,183.46,122.14,0,38.1,20.67,224.88,0,0,9.37,577.01,132.93,0,147.12,651.77,0,11.27,2.46,136.09,0.61,8.6,25.29,92.91,62.06,0
21,43.5,13.43,26.48,4.62,0,102.33,0,15.06,37.64,36.2,21.76,44.15,30.96,29.83,0,458.96,60.41,19.52,40.04,404.84,0,51.1,0,297.58,97.37,28.88,26.45,47.81,8.6,7.2,0,119.27
22,0,13.1,83.29,6.58,0,8.43,5.5,11.34,60.92,39.14,0,16.46,5.23,0,0,0,4.26,1469.6,33.01,153.5,9.69,0,0,6.29,0.32,9.2,0.05,1.39,7.57,20.71,16.22,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12.56,8.59,23.02,24.77,0,42.5,0,7.62,12.29,10.57,27.84,131.3,29.23,10.66,0,150.51,27.48,42.5,358.75,86.86,288.97,72.48,0,0,71.3,121.1,0.25,4.86,8.68,4.58,0,108.19
25,0.84,1.23,2.48,6.28,0,31.27,49.96,0.82,0.41,0.8,0.79,70.3,31.82,0.46,0,5.61,0.91,3.27,32.16,5.28,80.48,0.51,0,32.5,0,76.43,0.03,4.52,0,0,0,4.56
26,9.28,4.86,57.1,11.39,0,51.82,0,3.51,7.47,18.93,13.39,26.8,32.58,6.86,0,323.68,13.19,55.2,86.91,172.91,92.52,85.05,0,89.4,51.1,0,0.39,8.36,3.3,10.86,0,186.02
27,2.14,0.65,0,0,0,15.57,0,0.47,0.73,0.76,1.17,1.05,16.1,1.01,0,37.18,4.72,0.04,7.04,3.36,11.61,0.02,0,3.16,13.81,11.39,0,0.03,0,0,0,1.62
28,2.2,1.94,21.49,4.31,0,9.93,0,0.7,2.58,2.77,3.14,14.1,13.36,1.39,0,64.42,4.73,12.97,11.46,12.31,7.57,36.34,0,8.84,10.71,9.54,0.05,0,5.79,3.26,0,15.68
29,41.74,16.91,1.57,0.11,0,7.92,5.32,15.55,29.94,13.36,0,3.25,0.58,22.04,0,322.92,90.41,1.13,29.89,152.23,6.17,3.99,0,6.46,0,5.52,0,0.27,0,1.39,7.65,200.2
30,50.66,32.93,0,0.89,0,7.09,19.28,26.53,32.63,145.61,0,4.24,9.71,23.28,0,829.78,133.02,68.66,203.79,238.1,2.63,6.7,0,9.02,0,2.39,0.02,0.02,15.73,0,48.55,221.96
