HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,0,1.93,9.65,1,0,1.75,1.49,3.88,0,0,0,1.44,0.48,0,0,0,0,0,0,0,5.13,0,0,5.41,0.16,6.63,0.4,0.85,0,0,0,0
12,1.94,1.82,90.97,8.49,0,20.65,11.53,4.27,2.94,4.66,3.46,0,4.45,1.19,0,3.58,4.48,4.46,63.57,9.81,11.81,10.98,0,59.95,33.5,13.9,2.6,10.39,0.42,0.02,0,5.01
13,1.05,0.16,5.68,2.61,0,8.2,0,0.27,0.8,1.04,0.52,3.2,0,0.58,0,1.88,1.39,1.2,12.68,4.07,11.6,2.89,0,8.91,6.84,6.09,0.1,4.13,0,0,0,2.51
14,0,0.21,5.16,0.4,0,0.36,0.33,0.43,10.33,1.6,0,0.41,0.1,0,0,0,0.88,58.25,20.23,116.56,1.09,0,0,0.41,0.03,0.88,0,0.08,0.19,5.85,0.84,0
15,0,18.01,82.16,11,0,56.03,27.75,39.5,0,43.6,0,22.31,2.4,0,0,0,0,0,0,0,1041.38,0,247.89,38.98,1.4,616.24,7.69,21.21,98.46,230.34,27.98,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40.19,17.22,15.56,1.31,0,7.15,22.52,30.1,0,30.96,0,14.28,1.32,1.8,0,0,0,0,0,20.81,35.63,43.35,0,19.03,0.3,9.44,0.41,2.47,41.27,49.4,10.08,130.7
18,31.79,3.17,14.21,1.43,0,4.12,1.82,6.09,0,7.76,0,6.11,0.88,65.52,0,0,0,0,0.09,234.99,7.18,986.81,0,0.57,0.48,11.1,0.06,2.92,2.06,32.59,1.55,0
19,24.62,21.44,120.14,13.84,0,50.19,26.98,21.56,19.26,43.45,0,50.94,5.97,17.23,0,0,0,8.54,0,73.8,59.26,51.56,0,124.08,10.99,316.74,0.29,8.71,12.83,82.55,0,78.21
20,90.15,21.67,74.22,9.4,0,35.73,26.99,34.54,86.31,50.58,0,23.83,3.19,111.17,0,0,38.9,253.13,95.1,0,410.11,146.01,0,26.61,1.47,103.27,0.57,9.27,49.74,69,46.98,0
21,2.56,0.08,22.1,4.85,0,42.68,0,0.15,2.23,3.74,1.61,3.61,15.36,1.25,0,571.39,15.75,23.89,45.21,282.43,0,26.6,0,400.38,82.76,208.47,15,21.18,0.12,0.02,0,26.85
22,0,8.4,5.38,10.86,0,53.24,14.79,18.66,103.48,26.71,0,18.81,5.43,0,0,0,136.22,1225.71,121.48,215.31,54.37,0,0,43.95,0.24,40.56,1.57,23.78,11.05,3.76,24.97,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.59,0.14,9.09,14.35,0,45.27,0,0.45,0.63,4.84,1.49,51.14,6.38,0.58,0,24.48,12.95,27.14,118.34,20.98,383.51,3.8,0,0,24.81,46.19,2.76,5.85,0.14,0.01,0,12.69
25,0.11,0.27,1.2,3.01,0,35,28.22,0.1,0.13,0.11,0.03,21.94,2.48,0,0,0.88,0.32,0.8,11.2,1.19,105.35,0.23,0,35.98,0,20.31,3.25,6.84,0,0,0,0.79
26,2.83,1.07,26.9,6.8,0,53.28,0,1.52,2.6,4.89,2.24,7.1,6.11,2.55,0,468,5.25,14.81,56.96,76.36,143.79,14.32,0,45.12,33.6,0,4.93,16.22,0.87,0.01,0,10.11
27,0.53,0.08,0,0,0,0.26,0,0.09,0.21,1.02,0.09,0.72,0.06,0.53,0,0.01,0.03,0.16,7.57,0.19,33.58,3.01,0,1.98,5.89,0.7,0,0.48,0,0,0,2.25
28,1.38,0.48,6.11,1.82,0,2.62,0,0.4,1.25,2.26,0.59,6.81,1.76,0.8,0,0.07,0.9,0.23,16.34,1.61,38.49,4.65,0,3.67,9.84,8.7,0.19,0,0,0.01,0,3.85
29,5.46,1.35,0.99,0.03,0,0.21,2.73,4.21,3.51,2.97,0,0.16,0,1.26,0,37.32,28.21,40.61,19.04,37.23,1.22,4.23,0,0.17,0,0.38,0,0,0,0.9,2.3,28.5
30,16.63,12.44,0,1.05,0,2.98,1.13,20.62,14.93,44.85,0,3.57,0.52,6.58,0,233.13,57.68,68.55,98.28,89.3,4.08,17.58,0,1.6,0,3.82,0,1.47,0.48,0,24.44,73.54
31,1.02,0,0,0,0,0,0,0,1.3,0,0,0,0,0.84,0,20.51,7.12,14.98,0,35.09,0,9.75,0,0,0,0,0,0,0.36,8.48,0,19.91
32,0,10.8,63.25,5.91,0,11.29,12.04,21.77,50.87,22.85,0,2.42,2.56,0,0,0,163.24,0,88.73,0,50.94,0,0,12.82,1.1,25.42,1.79,3.33,38.56,46.27,29.37,0
