HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.22,10.13,1,0,1.08,0.28,0.5,28.27,1.72,0,0.74,0.27,0,0,134.9,33.59,60.7,29.33,85.4,3.41,0,0,0.36,0.19,2.52,0.09,0.3,0.22,5.51,0.96,0
2,3.54,0,4.3,0.34,0,0.95,1.31,0.98,2.86,8.01,2,0.95,0.07,3.11,0,9.65,12.68,22.35,32.81,13.98,1.76,4.92,0,0.44,0.35,1.67,0,0.2,0,2.47,0,9.44
3,7.36,3.6,0,3.82,0,12.83,9.19,3.24,5.87,9.97,8.08,64.16,4.38,3.86,0,60.45,16.38,17.17,83.27,56.64,17.34,94.78,0,10.33,1.17,29.9,0,6.61,0.79,0,0,41.58
4,0.67,0.32,3.88,0,0,4.18,0,0.32,0.73,0.69,0.81,5.94,1.94,0.27,0,7.84,1.44,1.86,9.37,7.45,3.28,7.73,0,11.89,3.92,6.2,0,2.01,0,0,0,3.85
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.72,0.62,11.05,3.5,0,0,0,0.44,2.48,3.89,1.74,14.27,5.7,1.72,0,26.9,3.41,3.83,33.75,18.67,63.69,10.18,0,21.65,17.7,40.54,0.47,4.48,0.78,0.01,0,7.35
7,0.87,0.04,11.07,0,0,0,0,0.03,0.79,3.21,0.04,8.57,0,0.9,0,14.95,10.85,14.01,34.22,16.62,0,2.79,0,0,21.41,0,0,0,0,0.01,0,7.91
8,5.53,0.76,3.21,0.32,0,0.82,1.41,0,5.05,12.45,3,1.94,0.11,4.34,0,20.76,18.69,31.67,36.38,24.24,2.66,6.77,0,0.85,0.72,2.07,0,0.2,0.05,3.72,0,17.38
9,21.97,0.21,7.57,0.91,0,1.17,0.28,0.39,0,2.7,0,1,0.16,9.4,0,0,0,0,7.07,73.31,2.7,52.8,0,0.57,0.19,2.47,0.08,0.48,0.25,8.79,1.71,22.39
10,2.5,9.42,13.7,0.97,0,3.18,5.33,14.52,4.89,0,0,2.31,0.25,1.73,0,35.66,20.77,20.62,63.14,45.08,13.49,21.29,0,0.96,0.21,8.3,0.1,2.16,0.91,40.26,0,17.66
