LOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,40.66,3.66,0,1.13,0,0,72.32,5.04,0,0.31,0.83,0,0,221.23,124.57,264.84,74.31,316.65,3.56,0,0,1.23,1.16,2.97,0,0,11.28,3.49,0,0
2,0,0,15.9,1.3,0,0.63,4.84,3.51,0.97,5.5,5.98,0.89,0.26,0.33,0,51.34,74.93,60.18,114.41,94,16.14,138.99,0,4.15,1.68,0.27,0,0.03,16.55,6.17,0,11.53
3,27.57,12.04,0,11.19,0,38.32,25.93,8.92,24.36,35.68,27.22,90.42,17.79,13.94,0,231.73,59.54,88.7,264.32,228.98,49.97,155.24,0,26.75,2.98,59.47,0,21.22,3.49,0,0,143.89
4,2.6,1.03,11.22,0,0,12.59,0,0.68,2.53,2.79,2.54,9.12,5.65,1.2,0,27.98,5.59,9.04,29.15,29.66,9.78,16.86,0,31.94,6.49,14.64,0,5.77,0.67,1.78,0,14.01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.12,0.67,44.29,10.55,0,0,0,0.65,2.57,4.19,2.56,17.97,21.08,0.66,0,127.68,41.48,18.99,109.68,132.73,204.57,92.57,0,72.17,28.85,81.8,1.48,9.61,0.53,6.71,0,21.05
7,0,0.1,32.22,0,0,0,0,0.08,0.71,1.82,0.88,16.68,0,0,0,56.26,57.55,27.46,108.04,95.41,0,68.85,0,0,49.54,0,0,0,0.72,4.21,0,4.98
8,0,2.43,8.99,0.75,0,0.62,4.82,0,0.58,8.15,7.62,2.03,0.3,0.66,0,92.63,82.06,70.62,95.73,113.26,19.66,166.59,0,4.57,0,1.41,0,0.15,16.34,7.84,0,32.26
9,58.11,0.97,34.43,3.4,0,3.76,0.78,1.39,0,7.75,0,1.92,0.94,25.43,0,0,0,0,28.81,382.39,4.77,375.87,0,3.61,0.87,4.91,0,0.85,6.42,30.57,3.17,66.58
10,6.13,15.32,56.9,4.39,0,6.59,4.49,26.04,9.31,0,0,3.61,0.9,3.09,0,158.78,129.39,98.21,198.04,239.2,29.4,222.04,0,7.06,1.28,8.15,0,1.86,39.28,174.37,0,59.45
