HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,14.54,1.22,0,0.13,0,0,27.96,1.58,0,0.02,0.19,0,0,84.8,39.97,90.11,25.41,99.89,2.08,0,0,0.1,0.39,0.69,0,0,4.5,1.54,0,0
2,0,0,5.09,0.38,0,0.24,1.36,1.28,0.16,1.48,1.95,0.25,0.19,0.12,0,12.66,17.22,14.97,34.27,22.54,4.35,43.1,0,1.25,0.63,0.07,0,0.01,4.36,1.74,0,2.55
3,8.57,3.25,0,3.7,0,13.54,8.03,3.02,8.45,12.28,9.09,37.94,4.21,4.24,0,65.73,17.69,27.23,91.08,69.13,17.02,64.66,0,9.97,0.87,16.34,0,6.54,1.04,0,0,42.2
4,0.75,0.26,3.69,0,0,4.6,0,0.24,0.68,0.91,0.78,3.99,1.79,0.37,0,7.25,1.61,2.58,9.41,8.71,3.98,6.79,0,11.58,1.97,3.95,0,2.25,0.18,0.68,0,4.05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.2,0.23,10.94,3.63,0,0,0,0.21,0.68,1.34,0.78,8.07,6.5,0.24,0,40.76,12.17,5.16,37.25,40.11,78.58,39.97,0,30.42,10.86,28.45,0.53,3.45,0.11,2.49,0,5.57
7,0,0,10.96,0,0,0,0,0,0.21,0.64,0,6.4,0,0.05,0,18.31,15.98,8.33,35.21,27.94,0,27.38,0,0,15.89,0,0,0,0.28,1.24,0,1.03
8,0,0.73,3.16,0.27,0,0.28,1.41,0,0.02,3.06,2.72,0.75,0.01,0.22,0,24.36,25.38,22.05,33.15,30.78,6.69,62.33,0,1.67,0.02,0.08,0,0.05,5.14,2.85,0,8.73
9,21.27,0.16,13.32,1.1,0,1.22,0.24,0.4,0,2.66,0,0.55,0.22,9.05,0,0,0,0,10.38,125.04,2.72,144.62,0,1.28,0.37,1.1,0,0.25,2.42,11.16,0.96,19.99
10,2.22,4.96,22.53,1.7,0,2.46,1.61,10.88,3.51,0,0,1.2,0.28,1.1,0,56.51,38.77,32.3,75,76.89,13.49,77,0,2.87,0.48,1.76,0,0.83,15.44,69.79,0,16.3
11,0,1.74,13.47,1.04,0,1.33,1.85,4.12,0,0,0,1.33,0.39,0,0,0,0,0,0,0,10.61,0,0,5.52,0.09,0.98,0,0.52,0,0,0,0
12,0.59,0.62,75.34,7.88,0,15.67,11.07,1.61,1.24,1.75,2.38,0,1.55,0.48,0,12.94,8.33,14.36,79.2,32.65,21.57,31.22,0,69.5,23.69,6.36,0,6.23,0.1,6.14,0,1.47
13,0.3,0.12,6.82,3.04,0,12.18,0,0.13,0.27,0.27,0.43,1.07,0,0.19,0,3.79,6.21,2.08,18.59,12.16,15.91,10.7,0,9.12,8.51,7.82,0.28,5.09,0.03,0.65,0,0.97
14,0,0,6.74,0.56,0,0.27,0.09,0.15,9.7,0.86,0,0.29,0.19,0,0,0,7.33,94.79,13.59,154.45,1.19,0,0,0.31,0.19,0.04,0,0,0,5.56,0,0
15,0,14.47,123.68,14.74,0,70.95,25.92,34.1,0,48.18,0,28.51,4.46,0,0,0,0,0,0,0,902.23,0,308.16,57.88,2.18,305.74,4.78,24.25,79.79,378.56,33.81,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34.08,26.51,29.51,2.58,0,25.19,34.29,48.69,0,45.37,0,28.67,8.96,0,0,0,0,0,0,21.9,56.87,43.13,0,40.17,0.64,24.8,12.2,16.29,82.52,96.31,9.29,112.39
18,68.78,27.63,26.5,2.39,0,11.96,22.64,47.9,0,31.51,0,34.2,0.99,109.53,0,0,0,0,12.44,389.44,42.63,1151.1,0,38.91,0.77,17.57,0,2.07,86.72,97.76,31.35,0
