HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.74,17.81,1.5,0,0.42,0.05,3.49,37.45,3.28,0,0.75,0.54,0,0,161.53,60.28,102.07,26.17,130.87,3.64,0,0,0.06,0.44,0.39,0.07,0.14,0.35,4.08,0.32,0
2,7.12,0,6.56,0.51,0,0.37,0.84,1.49,6.79,9.64,2.8,0.71,0.2,5.6,0,20.28,30.46,37.46,24.57,32.28,1.62,9.14,0,0.11,0.89,0.2,0,0.01,2.1,1.2,0,13.72
3,18.03,6.61,0,5.67,0,18.65,15.38,4.66,16.39,26.31,17.23,83.13,8.54,8.88,0,126.78,38,54.07,159.19,136.39,30.66,8.61,0,13.77,1.4,34.35,0,9.28,2.07,0,0,92.02
4,1.52,0.52,5.67,0,0,6.19,0,0.36,1.3,1.99,1.41,8.69,3.66,0.76,0,14.67,3.33,5.13,17.13,15.96,6.53,14.35,0,18.75,5.13,7.92,0,3.08,0.32,1.16,0,8.76
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.4,0.46,18.76,6.22,0,0,0,0.47,2.34,3.35,1.55,17.63,13.74,1.23,0,75.2,26.34,23.92,61.63,67.06,58.68,23.34,0,46.33,24.18,50.74,0.4,7.82,0.6,4.73,0,25.03
7,3.19,0.48,15.28,0,0,0,0,0.57,2.9,5.36,0.82,13.4,0,2.07,0,35.43,32.61,27.96,34.67,48.35,0,5.93,0,0,27.2,0,0,0,3.47,2.02,0,15.68
8,11.55,1.5,4.66,0.36,0,0.39,0.97,0,10.59,17.15,4.98,1.83,0.09,7.91,0,40.95,44.68,51.87,23.7,47.58,2.55,37.2,0,0.72,0.08,0.13,0,0.1,5.45,1.66,0,27.56
9,37.69,0.46,16.25,1.28,0,1.46,0.48,2.12,0,5.07,0,1.6,0.51,14.71,0,0,0,0,13.12,140.25,3.86,149.07,0,0.29,0.43,1.56,0.07,0.38,2.99,16.66,2.02,57.06
10,9.95,15.31,25.99,1.97,0,3.81,15.43,24.77,12.57,0,0,4.77,0.86,4.6,0,79.27,51.26,50.34,74.77,101.63,22.66,77.16,0,6.04,0.58,3.65,0.05,2.05,7.17,65.11,0,35.16
11,0,2.8,17.09,1.4,0,1.43,1.29,4.94,0,0,0,2.95,0.71,0,0,0,0,0,0,0,4.24,0,0,4.08,0.17,1.33,0.01,0.63,0,0,0,0
12,0.6,0.72,82.17,8.58,0,16.71,13.28,1.85,1.42,2.38,2.94,0,2.17,0.77,0,22.25,17.46,26.91,63.47,41.07,11.36,10.43,0,73.08,35.66,7.63,0.08,6.61,0.35,7.17,0,3.07
13,0.9,0.26,8.45,3.62,0,13.56,0,0.13,0.8,0.78,0.77,2.15,0,0.52,0,6.96,13.09,6.49,8.49,14.62,23.31,4.34,0,10.4,14.4,5.92,0.05,4.81,0.08,0.84,0,2.57
14,0,0.23,8.77,0.75,0,0.6,0.22,0.6,14.66,2.03,0,0.93,0.47,0,0,0,14.75,157.27,7.97,181.72,1.5,0,0,0.03,0.29,0.57,0.06,0.2,0.51,5.77,0.54,0
15,0,8.18,160.01,18.19,0,74.43,27.27,26.74,0,66.75,0,26.44,9.12,0,0,0,0,0,0,0,1419.57,0,738.93,31.22,2.77,889.29,0.56,14.67,73.91,512.98,24.11,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,68.13,33.75,37.55,3.29,0,31.59,39.93,49.24,0,49.21,0,30.62,11.31,20.4,0,0,0,0,0,93.42,63.32,257.58,0,33.85,0.73,27.97,13.9,21.74,65.79,90.73,12.13,219.79
18,83.66,17.25,41.99,3.83,0,8.65,14.41,26.18,0,20.87,0,15.48,2.61,151.28,0,0,0,0,17.5,525.65,39.04,1993.44,0,7.05,1.32,23.17,0.02,3.02,36.98,59.71,5.37,0
