HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.53,2.94,0.24,0,0.2,0.6,2.14,10.27,1.23,0,0.55,0.18,0,0,72.32,11.1,0.17,2.86,21.21,0.52,0,0,0.03,0,0.13,0,0.07,0.24,1.15,0.57,0
2,5.43,0,1.67,0.17,0,0.16,0.24,0.33,3.9,5.4,1.05,0.81,0.07,3.28,0,10.72,6.6,1.22,4.7,6.68,0.04,2.21,0,0.12,0.12,0.01,0,0,0.5,1.23,0,6.81
3,7.05,2.71,0,2.2,0,5.36,7,1.81,5.13,9.45,6.2,63.25,3.83,3.53,0,53.87,10.96,16.63,73.88,50.22,14.74,3.67,0,4.5,0.69,16.5,0,3.2,0.65,0,0,51.72
4,0.72,0.21,2.13,0,0,1.66,0,0.18,0.6,0.69,0.66,5.95,1.78,0.29,0,6.96,0.94,1.85,8.67,6.74,3.41,7.47,0,8.58,2.45,3.8,0,0.94,0.03,0.65,0,5.06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.67,0.45,8.02,2.67,0,0,0,0.43,0.85,1.37,1.02,12.23,5.84,0.18,0,37.21,0.94,5.43,20.9,21.53,35.87,35.71,0,31.41,25.03,25.15,0.03,0.94,0.25,2.27,0,13.93
7,1.96,1.69,4.19,0,0,0,0,1.75,2.23,1.07,1.82,7.76,0,1.91,0,13.84,4.11,1.59,5.38,8.08,0,8.86,0,0,17.04,0,0,0,2.1,0.73,0,6.34
8,7.28,0.67,1.85,0.17,0,0.09,0.23,0,7.03,9.13,2.6,1.62,0.25,5.56,0,24.49,10.81,1.53,8.89,17.26,0.02,19.11,0,0.23,0.01,0.07,0,0.05,3.36,3.81,0.02,16.4
9,19.05,1.2,2.59,0.33,0,0.27,0.49,2.25,0,1.83,0,0.78,0.08,5.96,0,0,0,0,2.4,30.72,0.3,51.63,0,0.03,0.04,0.16,0,0.14,0.38,2.58,0.68,28.3
10,4.4,6.41,3.9,0.27,0,4.32,6.18,9.84,4.5,0,0,2.68,2.15,2.72,0,21.02,10.05,1.4,14.01,18.94,2.82,17.24,0,4.66,0.1,2.18,0.02,0.54,4.36,7.15,0,16.46
11,0,1.21,3.85,0.38,0,0.44,0.3,1.32,0,0,0,0.87,0.31,0,0,0,0,0,0,0,0.29,0,0,0.69,0.03,0.06,0,0,0,0,0,0
12,0.32,0.18,22.92,2.1,0,4.79,3.3,0.58,0.42,0.49,0.5,0,1.03,0.12,0,9.28,0.09,3.78,7.23,3.94,1.33,11,0,13.48,11.57,1.32,0.01,1.89,0.16,1.49,0,1.18
13,0.13,0.09,1.9,0.77,0,2.11,0,0.07,0.11,0.23,0.21,1.63,0,0.07,0,0.46,0.25,0.89,2.25,1.26,1.01,2.94,0,1.86,0.47,1.02,0,0.58,0,0.26,0,1.15
14,0,1,1.6,0.1,0,0.15,0.43,0.45,4.84,0.95,0,0.12,0.06,0,0,0,0,10.5,2.12,46.86,0.16,0,0,0.02,0,0.06,0,0,0.19,1.08,0.41,0
15,0,8.01,36.83,4.98,0,22,15.25,13.79,0,24.29,0,14.73,6.46,0,0,0,0,0,22.87,0,84.36,0,431.58,14.51,0.46,141.29,0.46,2.6,11.13,110.06,17.94,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,21.29,1.91,6.59,0.61,0,1.98,2.09,3.02,0,4.52,0,1.36,1.42,0.99,0,0,0,0,0,20.9,0.53,86.23,0,2.21,0.17,0.54,0.01,0.11,2.08,6.83,0.03,107.88
18,23.29,2.61,4.44,0.51,0,1.13,0.38,3.15,0,1.5,0,2.61,0.43,21.27,0,0,0,0,2.74,119.11,0.26,816.49,0,0.15,0.21,1.33,0,0.07,0.03,3.27,0.13,0
19,26.26,19.46,30.49,2.88,0,16.94,18.97,22.89,5.43,39.88,0,43.06,9.15,19.39,0,0.69,1.44,0.86,0,54.1,15.77,90.42,0,35.84,9.51,33.85,0.96,3.86,11.47,54.02,0.2,55.78
20,47.27,4.98,24.83,3.39,0,5.95,5.96,6.51,44.77,24.07,0,9.43,4,61.79,0,0,1.46,115.9,34.37,0,100.15,137.67,0,3.26,0.39,33.45,0.16,1.05,4.31,21.26,13.32,0
21,12.01,2.36,8.75,1.51,0,42.28,0,5.69,15.72,12.26,8.45,16.37,10.03,9.05,0,420.36,15.56,7.74,15.04,310.85,0,34.46,0,324.04,55.76,10.79,9.74,18.95,2.28,2.7,0,56.31
22,0,2.75,36.13,2.75,0,3.62,2.04,3.83,13.59,8.84,0,4.92,1.58,0,0,0,0.96,370.51,11.9,37.46,7.35,0,0,2.88,0.14,3.4,0.03,0.26,2.79,7.83,3.06,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.61,1.7,6.36,6.24,0,12.24,0,2.85,2.95,2.32,6.2,47.75,5.95,2.35,0,27.63,5.47,5.7,90.36,17.29,216.57,29.88,0,0,28.79,28.76,0.07,0.11,0.62,1.16,0,20.74
25,0.13,0.29,0.66,1.48,0,8.66,9.67,0.31,0.13,0.16,0.15,18.99,5,0.03,0,0.86,0.23,0.42,7.73,1.04,31.16,0.14,0,7.93,0,15.35,0.01,0.9,0,0,0,0.87
26,1.47,0.69,11.32,2.73,0,18.49,0,0.81,0.95,3.19,2.36,6.16,5.09,0.94,0,178.62,1.35,10.28,16.63,46,69.35,23.93,0,26.07,14.6,0,0.09,2.53,0.54,2.06,0,41
27,0.52,0.08,0,0,0,4.92,0,0.16,0.18,0.17,0.36,0.4,2.61,0.2,0,7.32,1.01,0.01,1.58,0.72,3.66,0,0,0.98,5.76,2.93,0,0.01,0,0,0,0.36
28,0.45,0.38,3.94,1.23,0,2.95,0,0.25,0.67,0.71,0.62,5.95,3.33,0.36,0,13.7,1.06,1.99,2.66,2.3,2.26,15.48,0,2.92,4.57,2.77,0.01,0,1.93,1.08,0,2.99
29,10.83,3.92,0.36,0,0,2.14,2.19,3.27,7.93,3.63,0,0.94,0.04,4.97,0,54.91,21.61,0.23,6.36,30.39,1.38,1.09,0,0.21,0,1.18,0,0.04,0,0.39,1.9,41.68
30,9.6,6.14,0,0.38,0,2.28,4.23,8.94,6.9,35.37,0,1.53,0.35,4.25,0,144.83,24.18,9.54,45.36,42.49,0.67,2.14,0,2.55,0,0.57,0,0,3.82,0,12.62,40.03
31,4.99,0,0,0,0,0,0,0,4.19,0,0,0,0,2.82,0,8.48,8.48,0.03,0,21.54,0,19.84,0,0,0,0,0,0,4.47,3.35,0,21.41
32,0,6.65,14.67,1.39,0,6.99,9.26,11.49,15.37,7.2,0,2.06,3.28,0,0,0,46.32,0,28.68,0,6.32,0,0,7.82,0.29,4.03,0.03,0.71,8.96,14.74,7.42,0
