HOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.74,27.88,1.5,0,0.42,0.05,3.49,37.45,3.28,0,0.75,0.54,0,0,154.94,60.28,102.07,26.17,136.46,2.37,0,0,0.06,0,0.42,0.07,0.14,0.33,6.31,0.32,0
2,7.12,0,5.7,0.51,0,0.37,0.84,1.49,6.79,9.64,2.8,0.71,0.2,5.6,0,24.22,29.58,33.02,27.64,32.01,1.6,8.1,0,0.11,0.89,0.26,0,0.01,1.58,1.63,0,13.72
3,28.22,5.75,0,4.93,0,16.22,13.37,4.05,25.65,22.88,14.98,72.29,7.43,13.9,0,124.79,42.68,33.39,186.59,199.13,26.55,13.48,0,11.97,1.22,30.28,0,8.07,3.01,0,0,144.04
4,1.52,0.52,4.93,0,0,6.19,0,0.36,1.3,1.99,1.41,8.69,3.66,0.76,0,16.5,2.43,1.87,22.62,15.38,6.51,0.79,0,21.62,17.16,8.05,0,3.08,0.3,0,0,8.76
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.4,0.46,16.31,6.22,0,0,0,0.47,2.34,3.35,1.55,17.63,13.74,1.23,0,87.09,22.61,10.16,86.41,64.93,58.59,4.88,0,48.54,80.74,49.81,0.4,7.82,0.56,0,0,25.03
7,3.19,0.48,13.29,0,0,0,0,0.57,2.9,5.36,0.82,13.4,0,2.07,0,41.35,31.2,21.04,42.9,47.26,0,2.72,0,0,48.21,0,0,0,3.21,0,0,15.68
8,11.55,1.5,4.05,0.36,0,0.39,0.97,0,10.59,17.15,4.98,1.83,0.09,7.91,0,49.34,44.68,51.87,25.3,47.58,2.48,35.85,0,0.48,0.08,0.18,0,0.1,4.69,2.89,0,27.56
9,37.69,0.46,25.43,1.28,0,1.46,0.48,2.12,0,5.07,0,1.6,0.51,14.71,0,0,0,0,0,140.63,2.89,155.97,0,0.29,0,1.61,0.07,0.38,2.83,12.58,2.02,57.06
10,9.95,15.31,22.6,1.97,0,3.81,15.43,24.77,12.57,0,0,4.77,0.86,4.6,0,95.51,51.26,50.03,74.83,102.05,22.59,71.96,0,6.04,0,3.71,0.05,2.05,2.92,66.45,0,35.16
11,0,2.8,14.86,1.4,0,1.43,1.29,4.94,0,0,0,2.95,0.71,0,0,0,0,0,0,0,4.16,0,0,3.01,0.17,1.32,0.01,0.63,0,0,0,0
12,0.6,0.72,71.45,8.58,0,16.71,13.28,1.85,1.42,2.38,2.94,0,2.17,0.77,0,23.9,12.56,5.48,86.34,39.45,11.33,0.42,0,71.69,61.71,8.21,0.08,6.61,0.32,0,0,3.07
13,0.9,0.26,7.35,3.62,0,13.56,0,0.13,0.8,0.78,0.77,2.15,0,0.52,0,7.46,12.04,3.02,14.1,14.22,23.3,0.42,0,13.56,19.78,5.94,0.05,4.81,0.07,0,0,2.57
14,0,0.23,13.73,0.75,0,0.6,0.22,0.6,14.66,2.03,0,0.93,0.47,0,0,0,17.62,157.27,7.97,177.14,1.46,0,0,0.03,0,0.6,0.06,0.2,0.48,8.4,0.54,0
15,0,8.92,134.93,17.53,0,79.61,30.23,32.22,0,81.89,0,16.15,6.41,0,0,0,0,0,0,0,1457.85,0,887.7,37.62,0,773.77,0.67,17.67,85.34,513.44,29.05,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,68.13,32.85,42.07,2.39,0,27.91,38.5,49.24,0,49.21,0,25.67,10.25,23.04,0,0,0,0,0,119.75,54.44,350.42,0,33.48,0,21.1,13.9,20.7,62.14,102.07,0,219.79
18,92.14,14.45,33.1,1.85,0,0.45,10.33,26.18,0,20.07,0,2.43,0.55,151.28,0,0,0,0,0,525.65,18.45,2136.72,0,2.49,0,1.82,0.02,0.33,34.93,79.48,5.37,0
19,44.79,35.16,177.08,21.61,0,93.92,54.68,30.14,0,78.41,0,106.44,14.9,26.51,0,0,0,0,0,133.66,103.14,183.41,0,144.23,20.5,89.06,2.56,31.07,22.25,123.85,0,129.29
20,161.31,37.71,186.8,14.59,0,70.25,56.72,53.39,158.93,99.16,0,57.74,21.09,189.19,0,0,138.57,535.9,128.4,0,344.93,390.56,0,49.71,0,139.07,18.49,32.85,85.18,154.24,82.68,0
21,2.94,2.15,26.83,6.59,0,51.73,0,3.34,3.61,8.95,5.12,10.44,19.28,1.77,0,1237.27,39.97,29.88,82.63,347.03,0,3.09,0,859.7,131.61,264.59,13.7,24.16,2.57,0,0,49.26
22,0,19.68,13.45,0.78,0,16.01,13.1,48.41,172.66,72.05,0,0.24,0.25,0,0,0,394.64,2288.84,175.77,367.17,28.19,0,0,13.95,0,5.05,0.22,2.57,5,6.9,63.33,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.37,1.17,12.02,21.05,0,54.11,0,1.57,2.19,6.43,4.63,86.11,13.34,1.06,0,60.57,36.63,36.26,188.31,52.82,833.75,11.54,0,0,60.56,93.89,0.23,10.26,2.19,0,0,23.43
25,0,0.91,1.22,17.02,0,70.76,42,0.1,0,0,0.18,60.82,12.58,0,0,0,0,0,30.37,0,129.11,0,0,43.36,0,68.56,2.29,29.57,0,0,0,0
26,1.15,0.32,31.25,8.32,0,49.14,0,0.27,2.07,2.73,1.46,8.67,5.83,1.04,0,735.54,14.62,3.68,96.27,124.74,230.11,4.31,0,73.56,74.21,0,0.11,7.9,0.09,0,0,24.73
27,0.02,0.06,0,0,0,3.78,0,0.07,0.01,0.21,0.08,0.07,0.05,0.01,0,13.95,12.22,1.42,1.3,14.69,25.06,0.15,0,0.25,10.73,0.3,0,0.03,0,0,0,0.28
28,0.03,0.02,8.09,3.09,0,2.16,0,0.1,0.27,1.14,0.65,6.66,4.16,0.09,0,26.16,8.24,0.05,14.04,18.87,23.4,1.23,0,1.19,31.46,5.85,0.04,0,0.21,0,0,3.36
29,10.76,1.49,2.97,0.3,0,0.16,2.8,4.43,9.64,0.52,0,0.23,0.07,1.31,0,98.54,60.78,75.38,15.92,83.57,2.44,3.79,0,0,0,0.08,0,0,0,0.14,0.23,51.56
30,21.81,10.71,0,0,0,0,0,15.43,19.72,75.64,0,0,0,11.27,0,335.42,131.16,197,145.39,177.49,0,7.21,0,0,0,0,0,0,0.69,0,29.79,103.05
31,8.39,0,0,0,0,0,0,0,8.24,0,0,0,0,3,0,0.05,0,27.37,0,83.14,0,63.96,0,0,0,0,0,0,2.1,21.64,0,39.59
32,0,19.55,141.52,8.6,0,32.3,26.5,34.44,70.33,34.85,0,11.6,3,0,0,0,219.08,0,124.37,0,68.26,0,0,22.69,0,31.77,0.63,7.41,55.1,90.37,38.91,0
