LOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.97,56.45,3.6,0,4.14,0.95,1.65,80.42,5.4,0,1.74,0.85,0,0,303.52,115.91,198.06,79.18,310.17,4.62,0,0,1.29,0.02,6.06,0.27,1.2,0.68,11.62,3.39,0
2,12.32,0,13.34,1.21,0,2.82,4.13,3.43,12.61,27.66,6.76,2.41,0.51,11.37,0,39.77,46.88,91.83,127.08,61.65,5.81,15.15,0,1.43,1.42,6.68,0.1,0.6,0.65,11.31,0,32.69
3,31.19,10.32,0,10.05,0,35.4,23.82,9.28,26.5,23.11,20.7,119.96,11.83,17.03,0,140.98,48.6,38.14,236.37,243.18,29.8,19.69,0,26.44,3.11,60.18,0,17.45,3.73,0,0,158.36
4,1.81,0.87,10.47,0,0,12.72,0.31,1.27,1.96,1.77,2.38,12.45,4.93,0.7,0,20.95,2.67,2.43,30.72,20.89,7.12,16,0,36.37,9.3,15.52,0,5.76,0.13,0,0,9.4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.46,1.5,28.24,9.63,0,0,0.86,1.31,6.19,9.64,4.42,27.77,14.83,4.65,0,62.44,3.67,8.82,72.73,43.43,143.21,20.62,0,52.05,44.11,79.41,1.12,12.39,1.5,0,0,17.07
7,2.53,0.12,31.53,0,0,0,0,0.13,2.64,10.1,0.7,20.61,0,2.54,0,47.27,30.26,45.81,123.69,55.56,0,6.5,0,0,78.69,0,0,0,0.1,0,0,21.09
8,13.81,2.42,7.76,0.98,0,2.17,4.4,0,12.34,30,7.66,3.93,0.52,11.26,0,58.45,50.73,86.66,97.13,62.17,5.01,16.26,0,1.21,0.63,4.09,0.1,0.12,0.31,10.39,0,42.1
9,56.74,1.07,39.46,3.2,0,4.91,1.52,1.67,0,7.88,0,2.21,0.26,25.98,0,0,0,0,0,230.92,4.33,161.07,0,2.28,0.01,4.35,0.08,1.49,7.8,19.19,5.57,58.32
10,8.36,32.9,39.64,3.51,0,11.89,18.46,43.18,15.75,0,0,6.29,1.51,5.41,0,123.41,77.99,74.69,210.98,168.4,27.99,60.14,0,3.4,0.03,25.63,0.3,6.93,2.52,131.5,0,54.16
11,0,6.27,25.07,3.09,0,5.65,4.76,12.03,0,0,0,3.16,2.19,0,0,0,0,0,0,0,7.99,0,0,2.32,0.56,13.67,1.3,2.97,0,0,0,0
12,5.48,4.78,181.15,19.12,0,46.11,27.95,10.39,8.3,12.26,9.05,0,10.45,3.39,0,8.52,4.29,1.52,175.09,31.35,25.48,29.67,0,156.87,91.5,35.99,6.08,22.53,1.22,0,0,13.94
13,2.71,0.98,26.51,9.11,0,32.62,0.39,1.85,2.91,4.43,4.57,8.25,0,1.8,0,5.82,2.68,0.74,52.26,14.98,26.68,7.66,0,38.72,40.62,25.56,0.39,13.06,0.1,0,0,6.84
14,0,0.68,28.57,1.54,0,1.29,1.22,1.11,31.34,4.71,0,0.91,0.17,0,0,0,11.56,158.24,67.09,326.16,0.91,0,0,1.24,0.01,3.39,0.16,0.24,1.96,18.65,2.57,0
15,0,110.37,317.82,47.33,0,244.18,125.65,225.63,0,209.89,0,85.28,6.17,0,0,0,0,0,0.04,0,812.3,0,695.75,179,0.15,486.28,35.37,92.74,514.14,909.86,43.37,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,120.3,75.68,92.65,5.52,0,28.46,84.41,112.39,0,107.69,0,55.03,4.89,6.38,0,0,0,0,0.01,90.95,94.56,126.12,0,67.33,0,41.01,1.47,8.69,134.05,195.76,0,352.78
18,109.58,10.82,55.33,3.48,0,8.84,4.68,13.08,0,12.75,0,10.07,1.57,165.09,0,0,0,0,0,877.59,3.06,2759.13,0,2,0.03,13.79,0.25,7.75,7.07,53.84,5.21,0
19,65.34,88.93,419.85,55.99,0,209.83,102.13,95.57,54.41,127.86,0,131.59,19.66,47.02,0,0,0,0.92,0,204.03,118.91,126.14,0,364.39,47.92,203.32,0.86,43.07,41.23,248.12,0,186.77
20,289.25,91.27,358.51,29.87,0,113.16,88.26,135.97,309.56,158.77,0,66.45,7.71,342.37,0,0,245.27,837.36,242.67,0,343.32,440.74,0,89.07,0.11,154.67,1.93,26.25,190.32,241.17,149.06,0
21,2.35,0.28,47.24,13.29,0,122.36,0.8,0.45,2.69,6.04,0.98,6.23,38.61,0.85,0,370.35,23.18,37.24,117,216.13,0,24.63,0,413.04,160.98,234.28,35.62,53.06,0.43,0,0,33.49
22,0,21.42,23.2,1.78,0,11.78,3.93,44.72,254.75,47.87,0,5.75,2.86,0,0,0,528.63,3472.22,190.37,789.72,4.63,0,0,3.74,0.03,13.97,3.44,6.92,41.55,9.68,47.6,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.41,0.63,21.38,45.44,0,119.16,0,1.52,1.91,11.8,3.84,113.73,19.83,1.39,0,57.66,32.7,68.01,232.18,51.64,422.42,7.4,0,0,70.15,131.77,6.93,14.2,0.85,0,0,29.09
25,1,1.06,3.46,29.82,0,90.86,68.81,0.08,0,0.6,0.1,76.87,13.16,1,0,0.1,0.2,1.43,36.6,0.92,120.88,0,0,80.03,0,77.86,7.11,14.51,0,0,0,0.3
26,7.62,4.11,73.56,18.31,0,131.97,1.22,5.28,8.4,14.81,5.32,14.56,16.65,6.92,0,391.48,4.96,37.72,205.05,165.77,119.13,21.01,0,130.94,112.58,0,14.47,38.48,3.51,0,0,23.2
27,1.28,0.23,0,0,0,0.76,0,0.28,0.71,3.06,0.28,1.64,0.12,0.98,0,0.02,0.1,0.52,21.22,0.49,61.46,5.97,0,4.96,18.86,2,0,1.33,0,0,0,4.97
28,3.59,1.52,15.12,5.08,0,8.48,0.44,1.07,2.99,5.75,1.77,13.52,3.77,1.78,0,0.15,0.52,0.55,44.93,6.38,69.57,9.14,0,8.73,26.56,16.56,0.47,0,0,0,0,8.09
29,12.75,9.84,5.33,0.47,0,0.93,6.25,12.53,11.97,9.28,0,0.66,0.1,4.24,0,117.59,74.98,103.76,61.64,114.67,3.77,19.2,0,0.16,0,0.47,0,0,0,0.18,8.25,73.7
30,31.53,47.58,0.38,0.02,0,0.07,0.03,58.79,36.9,123.94,0,0.08,0.01,16.86,0,359.5,167.42,220.33,284.88,240.18,0.07,11.8,0,0.06,0.05,0.1,0,0.03,1.22,0,78.41,143.39
31,3.28,0,0,0,0,0,0,0,4.16,0,0,0,0,2.18,0,46.13,0.01,43.53,0,111.68,0,28.39,0,0,0,0,0,0,0.84,49.26,0,50.53
32,0,47.33,363.29,22.12,0,45.95,43.16,86.05,181.78,85.64,0,9.62,9.02,0,0,0,584.47,0,210.55,0,91.12,0,0,48.35,0.11,96.51,6.28,12.7,161.21,136.46,107.06,0
