HOVNT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0,22.75,1.22,0,0.13,0,0,27.96,1.58,0,0.02,0.19,0,0,76.87,39.97,90.11,23.31,98.77,1.9,0,0,0,0,0.69,0,0,4.25,3.16,0,0
2,0,0,4.43,0.38,0,0.24,1.36,1.28,0.16,1.48,1.95,0.25,0.19,0.12,0,15.25,16.67,14.55,35.68,22.59,4.23,42.81,0,1.24,0.63,0.07,0,0.01,4.04,1.7,0,2.55
3,13.41,2.83,0,3.22,0,11.77,6.98,2.63,13.23,10.68,7.9,32.99,3.66,6.64,0,66.82,18.63,39.58,87.8,107.73,14.81,7.56,0,8.67,0.76,14.2,0,5.69,1.51,0,0,66.06
4,0.75,0.26,3.21,0,0,4.6,0,0.24,0.68,0.91,0.78,3.99,1.79,0.37,0,8.46,1.1,2.48,10.25,8.15,3.99,6.35,0,11.65,3.53,3.94,0,2.25,0.17,0,0,4.05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.2,0.23,9.51,3.63,0,0,0,0.21,0.68,1.34,0.78,8.07,6.5,0.24,0,49.11,10.39,4.34,37.25,37.99,81.63,37.33,0,30.62,17.22,28.42,0.53,3.45,0.1,0,0,5.57
7,0,0,9.53,0,0,0,0,0,0.21,0.64,0,6.4,0,0.05,0,22.06,15.16,7.9,37.44,27.72,0,27.09,0,0,17.41,0,0,0,0.26,0,0,1.03
8,0,0.73,2.75,0.27,0,0.28,1.41,0,0.02,3.06,2.72,0.75,0.01,0.22,0,29.35,25.38,22.05,34.64,30.78,6.57,61.89,0,1.48,0.02,0.08,0,0.05,4.76,2.93,0,8.73
9,21.27,0.16,20.84,1.1,0,1.22,0.24,0.4,0,2.66,0,0.55,0.22,9.05,0,0,0,0,0,125.46,2.48,148.96,0,0.31,0,1.07,0,0.25,2.91,9.12,0.96,19.99
10,2.22,4.96,19.59,1.7,0,2.46,1.61,10.88,3.51,0,0,1.2,0.28,1.1,0,67.53,38.77,32.79,75.42,77.13,13.08,75.68,0,1.62,0,1.76,0,0.83,14.3,64.07,0,16.3
11,0,1.74,11.71,1.04,0,1.33,1.85,4.12,0,0,0,1.33,0.39,0,0,0,0,0,0,0,10.57,0,0,4.59,0.09,0.97,0,0.52,0,0,0,0
12,0.59,0.62,65.51,7.88,0,15.67,11.07,1.61,1.24,1.75,2.38,0,1.55,0.48,0,14.65,4.43,12.32,85.45,30.71,21.57,19.53,0,70.09,38.26,6.36,0,6.23,0.09,0,0,1.47
13,0.3,0.12,5.93,3.04,0,12.18,0,0.13,0.27,0.27,0.43,1.07,0,0.19,0,4.23,5.52,1.85,19.84,11.55,15.91,9.87,0,9.14,10.52,7.82,0.28,5.09,0.03,0,0,0.97
14,0,0,10.55,0.56,0,0.27,0.09,0.15,9.7,0.86,0,0.29,0.19,0,0,0,9.42,94.79,13.59,151.2,1.12,0,0,0,0,0.04,0,0,0.27,5.9,0,0
15,0,17.43,101.42,13.91,0,85.48,31.23,41.08,0,59.12,0,24.48,2.25,0,0,0,0,0,0,0,605.6,0,374.5,55.59,0,335.25,5.76,29.22,96.44,344.65,36.02,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34.08,26.1,34.7,1.95,0,22.47,33.63,48.69,0,42.71,0,26.43,8.35,0.18,0,0,0,0,0,23.82,52.47,49.39,0,38.1,0,20.81,12.2,15.65,77.94,116.84,0,112.39
18,68.76,26.84,24.73,1.37,0,7.8,21.3,47.9,0,30.66,0,29.63,0.23,111.11,0,0,0,0,0,391.52,41.96,1187.15,0,34.59,0,9.74,0,1.04,81.9,132.33,31.35,0
19,3.3,23.96,114.19,14.15,0,28.79,31.55,24.58,2.59,42.29,0,57.12,7.26,0.01,0,0,0,30.35,0,90.43,42.95,124.68,0,110.61,18.42,46.7,1.28,17.14,25.17,82.05,0,66.28
20,77.82,24.77,135.22,10.39,0,45.98,32.49,40.69,107.35,59.79,0,34.32,4.99,107.73,0,0,77.38,353.82,104.46,0,223.67,236.86,0,40.89,0,65.99,5.28,15.71,76.02,132.63,58.67,0
21,1.12,0.35,17.49,4.41,0,87.25,0,0.54,1.2,2.14,1.12,7.24,13.26,0.72,0,254.91,21.27,12.64,39.69,173.49,0,50.38,0,463.17,101.13,17.52,12.71,18.47,0.32,0,0,15.65
22,0,24.02,9.56,5.78,0,21.24,8.11,56.37,132.94,55.14,0,6.14,1.87,0,0,0,218.26,1393.31,167.37,295.28,33.58,0,0,18.6,0,12.96,0,8.67,35.42,11.63,62.29,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.74,7.28,13.89,0,44.24,0,0.35,0.16,1.54,1.75,43.1,5.49,0,0,36.18,21.12,17.1,131.61,33.35,555.26,57.83,0,0,20.17,50.67,0.73,6.73,2.26,0,0,6.18
25,0.04,0.44,0.83,9.26,0,28.37,19.82,0.05,0.06,0.21,0.13,27.44,2.6,0.16,0,0.26,0.02,0.11,16.48,1.4,112.21,0.06,0,32.21,0,26.15,2.2,4.22,0,0,0,0.32
26,0.36,0,18.96,4.76,0,33.44,0,0.15,0.67,1.18,0.69,3.53,2.58,0.15,0,294.25,9.43,13.78,51.63,70.78,12.65,31.52,0,58.48,30.18,0,0.99,5.99,0.01,0,0,10.68
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,2.36,0,11.24,7.29,27.21,7.06,0,0.1,3.46,2.88,0,0.06,0,0,0,0
28,0,0,4.9,1.88,0,1.5,0,0.04,0.08,0.51,0.32,2.89,1.97,0.06,0,14.48,2.08,0.93,20.66,12.04,32.03,12.06,0,0.21,5.08,4.84,0,0,0,0,0,1.4
29,0.01,0.37,2.38,0.21,0,0.11,0.99,2.83,1.56,5.34,0,0.11,0.07,0.14,0,73.97,47.81,54.56,20.93,69.54,0.43,70.26,0,0.02,0,0,0,0.01,0,3.86,5.54,30.54
30,3,5.87,0,0,0,0,0,10.57,10.44,40.88,0,0,0,2.67,0,194.66,84.17,115.56,84.39,127.58,0,74.09,0,0,0,0,0,0,6.04,0,22.64,58.56
31,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0.16,0,32.42,25.45,16.34,0,61.88,0,70.6,0,0,0,0,0,0,10.5,24.56,0,18.78
32,0,7.46,124.07,7.54,0,14.01,7.17,20.51,36.14,23.73,0,2.32,1.34,0,0,0,172.42,0,91.52,0,48.65,0,0,14.04,0,21.06,0,2.97,58.44,81.48,32.21,0
