HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,0.22,15.86,1,0,1.08,0.28,0.5,28.27,1.72,0,0.74,0.27,0,0,136.36,33.59,59.29,21.74,85.61,3.24,0,0,0.36,0.01,1.2,0.09,0.3,0.2,3.33,0.96,0
2,3.54,0,3.74,0.34,0,0.95,1.31,0.98,2.86,8.01,2,0.95,0.07,3.11,0,11.63,12.14,21.54,35.26,13.92,1.76,4.8,0,0.37,0.35,1.54,0,0.2,0.01,2.47,0,9.44
3,11.52,3.13,0,3.32,0,11.16,7.99,2.82,9.18,8.67,7.03,55.79,3.81,6.05,0,60.31,16.97,12.89,88.45,85.66,15.27,6.52,0,8.98,1.02,24.55,0,5.75,1.15,0,0,65.09
4,0.67,0.32,3.37,0,0,4.18,0.1,0.32,0.73,0.69,0.81,5.94,1.94,0.27,0,8.91,0.89,0.74,11.56,7.13,3.38,7.73,0,12.81,3.22,6.1,0,2.01,0,0,0,3.85
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.72,0.62,9.61,3.5,0,0,0.32,0.44,2.48,3.89,1.74,14.27,5.7,1.72,0,30.05,1.46,3.46,29.44,16.63,78.37,10.16,0,21.65,16.8,39.93,0.47,4.48,0.72,0,0,7.35
7,0.87,0.04,9.63,0,0,0,0,0.03,0.79,3.21,0.04,8.57,0,0.9,0,17.1,9.9,14.01,38.33,16.36,0,2.79,0,0,21.42,0,0,0,0,0,0,7.91
8,5.53,0.76,2.79,0.32,0,0.82,1.41,0,5.05,12.45,3,1.94,0.11,4.34,0,24.93,18.69,31.67,38.03,24.24,2.66,6.87,0,0.52,0.18,1.52,0,0.2,0.06,3.72,0,17.38
9,21.97,0.21,11.84,0.91,0,1.17,0.28,0.39,0,2.7,0,1,0.16,9.4,0,0,0,0,0,72.29,2.59,57.63,0,0.58,0,1.15,0.08,0.48,1.89,4.65,1.7,22.39
10,2.5,9.42,11.91,0.97,0,3.18,5.33,14.52,4.89,0,0,2.31,0.25,1.73,0,43.41,20.77,20.39,63.14,44.59,13.59,20.21,0,0.97,0.01,6.39,0.1,2.16,0.91,38.58,0,17.66
11,0,1.83,7.78,0.93,0,1.51,1.49,3.88,0,0,0,1.11,0.45,0,0,0,0,0,0,0,4.89,0,0,0.59,0.14,4.35,0.4,0.8,0,0,0,0
12,1.94,1.82,79.1,8.49,0,20.65,11.53,4.27,2.94,4.66,3.46,0,4.45,1.19,0,2.83,1.36,0.56,72.45,8.84,11.98,10.97,0,62.28,32.04,13.71,2.6,10.39,0.39,0,0,5.01
13,1.05,0.16,4.94,2.61,0,8.2,0.1,0.27,0.8,1.04,0.52,3.2,0,0.58,0,2.07,0.84,0.28,14.35,3.91,11.69,2.89,0,9.55,6.29,5.99,0.1,4.13,0,0,0,2.51
14,0,0.21,8.08,0.4,0,0.36,0.33,0.43,10.33,1.6,0,0.41,0.1,0,0,0,3.44,58.25,18.11,115.35,1.06,0,0,0.41,0,0.34,0,0.08,0.31,4.36,0.84,0
15,0,21.7,74.7,11.63,0,62.91,33.43,47.59,0,57.05,0,25.32,1.53,0,0,0,0,0,0.01,0,1004.99,0,307.41,46.96,0.04,524.64,9.26,25.55,116.13,228.08,9.95,0
