HOVPM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40.19,17.22,24.3,1.31,0,7.14,22.52,30.1,0,28.68,0,14.28,1.32,2.09,0,0,0,0,0,22.66,35.04,56.22,0,19.03,0,7.7,0.41,2.47,38.97,47.26,0,130.7
18,33.74,2.54,15.07,0.84,0,2.31,1.2,3.36,0,4,0,3.66,0.47,64,0,0,0,0,0,235.89,1.85,986.81,0,0.54,0.02,3.39,0.06,2.33,1.94,12.15,1.51,0
19,24.62,23.18,123.42,16.46,0,61.08,31.27,27.5,19.26,45.84,0,57.54,7.79,17.23,0,0,0,0.34,0,66.77,65.15,51.32,0,115.64,14.76,75.38,0.29,13.76,12.01,72.41,0,78.21
20,90.14,21.13,100.76,8.53,0,31.54,25.64,34.54,86.22,48.17,0,22.69,2.85,111.17,0,0,63.06,250.08,62.49,0,316.3,145,0,26.19,0.03,63.26,0.57,7.56,49.45,62.89,42.53,0
21,2.43,0.08,18.97,4.8,0,44.3,0.3,0.15,2.04,3.63,1.5,3.63,15.37,1.12,0,562.66,11.54,19.44,45.21,212.29,0,23.61,0,439.41,106.96,265.13,15,21.09,0.11,0,0,26.58
22,0,7.5,7.81,0.81,0,4.66,1.4,18.02,103.33,18.98,0,2.27,0.87,0,0,0,218.01,1343.66,79.06,214.97,4.23,0,0,1.37,0.02,4.95,1.57,2.71,17.7,3.96,19.08,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.59,0.14,7.9,16.21,0,45.27,0,0.44,0.63,4.84,1.04,54.15,7.63,0.58,0,29.49,12.71,27.14,109.8,20.98,452.51,3.8,0,0,24.81,61.89,2.76,5.85,0.13,0,0,12.69
25,0,0.27,1.04,12.56,0,39.25,28.22,0.1,0,0,0.03,32.4,4.98,0,0,0,0,0.3,11.65,0.18,88.68,0,0,35.98,0,29.42,3.25,6.84,0,0,0,0.1
26,2.88,1.07,25.27,6.94,0,52.9,0.41,1.54,2.65,5.16,2.37,7.64,6.13,2.55,0,520.35,1.31,13.17,72.46,66.37,147.12,10.4,0,45.39,36.37,0,4.93,16.6,0.81,0,0,9.99
27,0.53,0.08,0,0,0,0.26,0,0.09,0.21,1.02,0.09,0.72,0.06,0.53,0,0.01,0.03,0.16,7.57,0.19,33.58,3.01,0,1.98,5.89,0.7,0,0.48,0,0,0,2.25
28,1.38,0.48,5.31,1.82,0,2.62,0.17,0.4,1.25,2.26,0.59,6.81,1.76,0.8,0,0.08,0.17,0.23,20.1,0.85,38.7,4.65,0,3.67,9.36,8.47,0.19,0,0,0,0,3.85
29,5.16,1.25,1.42,0.03,0,0.19,2.53,3.9,4.12,2.75,0,0.15,0,1.33,0,49,26.64,38.36,17.07,37.15,1.13,6.7,0,0.16,0,0.12,0,0,0,0.04,2.13,29.18
30,12.43,12.5,0.13,0.01,0,0.02,0.01,20.42,13.99,48.61,0,0.03,0,5.84,0,171.64,59.41,76.82,102.46,82.97,0.04,4.83,0,0.02,0.02,0.03,0,0.01,0.39,0,29.5,57.96
31,1.02,0,0,0,0,0,0,0,1.3,0,0,0,0,0.84,0,20.38,0,14.98,0,34.87,0,9.81,0,0,0,0,0,0,0.37,13.81,0,19.91
32,0,10.8,99,5.91,0,11.29,12.04,21.77,50.87,22.85,0,2.42,2.56,0,0,0,163.24,0,55.6,0,50.96,0,0,12.84,0.03,18.88,1.79,3.33,42.55,36.44,29.37,0
