LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,2.69,77.78,4.5,0,2.12,0.14,9.37,102.82,9.48,0,1.91,1.94,0,0,357.35,195.58,299.17,73.55,429.37,2.65,0,0,0.14,0,1.54,0.19,0.58,0.84,14.98,0.98,0
2,26.16,0,20.74,1.95,0,0.93,3.48,5.34,24.81,36.36,10.5,1.89,0.62,21.67,0,87.77,119.89,119.1,101.62,126.52,4.14,27.8,0,0.73,2.6,0.45,0.01,0.2,13.8,6.8,0,53.55
3,80.26,20.98,0,15.36,0,56.8,42.81,12.48,68.63,60.5,42.3,164.4,33.68,41.49,0,350.98,129.62,95.65,523.52,577.8,65.67,38.02,0,34.99,4.59,86.85,0,33.77,10.26,0,0,406.33
4,4.69,2,15.36,0,0,18.29,0,1.35,4.31,5.42,4.33,18.95,10.54,2.18,0,48.08,7.66,5.54,66.72,44.59,14.19,2.41,0,60.73,40.04,21.96,0,8.6,1.04,0,0,24.75
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.72,1.21,61.29,18.5,0,0,0,0.93,6.08,8.5,4.24,36.53,38.32,3.37,0,226.78,64.78,26.29,222.57,180.3,129.74,9.43,0,143.65,178.75,106.04,1.14,22.54,1.93,0,0,69.47
7,9.7,1.96,42.27,0,0,0,0,1.84,9.09,16.24,3.76,33.9,0,5.87,0,115.66,100.68,64.31,126.9,143.79,0,6.2,0,0,136.52,0,0,0,7.23,0,0,47.33
8,31.73,5.4,12.65,1.35,0,0.73,3.27,0,27.25,44.1,13.72,4.23,0.59,23.15,0,152.21,131.49,152.28,77.58,152.87,5.18,89.03,0,1.61,0.13,2.32,0.02,0.02,21.33,10.17,0,82.45
9,104.2,2.08,67.45,4.21,0,3.86,1.85,5.62,0,13.48,0,4.12,1.68,43.5,0,0,0,0,0,420.45,5.36,399.85,0,0.96,0,4.24,0.17,0.9,7.36,30.76,5.56,169.56
10,32.07,58.16,59.01,5.27,0,9.4,47.21,63.34,35.39,0,0,13.23,2.7,14.28,0,259.52,180.97,155.69,202.53,309.5,49.32,200.71,0,14,0,11.99,0.15,4.82,10.5,170.06,0,119.7
11,0,10.53,41.7,4.28,0,3.81,5.07,13.46,0,0,0,6.82,2.13,0,0,0,0,0,0,0,6.58,0,0,9.1,0.13,2.5,0.03,1.73,0,0,0,0
12,1.44,1.91,161.64,18.57,0,34.11,33.51,4.16,3.67,6.55,6.69,0,5.77,1.78,0,54.04,39.84,14.66,187.73,105.54,20.7,0.99,0,157,152.06,19.62,0.17,13.02,0.72,0,0,9.96
13,3.19,0.84,36.32,10.21,0,36.7,0,0.8,2.46,2.49,2.32,5.74,0,1.28,0,20.34,39.01,9.24,33.47,43.13,53.32,1.06,0,34.23,56.55,15.21,0.21,11.03,0.36,0,0,7.39
