A,B,PULLLINK,SEG
18815,18813,1,1
18812,18814,1,1
18754,18755,1,1
18340,18750,1,1
18797,18795,1,2
18794,18796,1,2
18759,18837,1,2
18836,97403,1,2
18779,18777,1,3
18776,18778,1,3
18765,18766,1,3
18439,18449,1,3
