;Hours,Dir_1,Dir_2
1,-2.246671725,-2.246671725
2,-2.246671725,-2.246671725
3,-2.246671725,-2.246671725
4,-2.246671725,-2.246671725
5,-2.246671725,-2.246671725
6,-1.058524266,-1.058524266
7,-0.218524266,-0.666524266
8,-0.218524266,-0.666524266
9,-0.218524266,-0.666524266
10,-0.666524266,-0.666524266
11,-0.666524266,-0.666524266
12,-0.666524266,-0.666524266
13,-0.666524266,-0.666524266
14,-0.666524266,-0.666524266
15,-0.666524266,-0.666524266
16,-0.666524266,-0.218524266
17,-0.666524266,-0.218524266
18,-0.666524266,-0.218524266
19,-0.666524266,-0.218524266
20,-0.666524266,-0.666524266
21,-0.666524266,-0.666524266
22,-1.058524266,-1.058524266
23,-1.058524266,-1.058524266
24,-1.058524266,-1.058524266
