LOVMID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,4.11,14.46,4.53,0,1.93,2.32,9.63,111.19,9.66,0,1.82,1.2,0,0,383.6,279.4,318.73,86.29,338.78,1.34,0,0,0.14,0.87,4.93,0.19,1.11,0.82,32.7,3.05,0
2,27.62,0,7.86,1.14,0,1.65,4.7,5.81,25.74,36.09,12.22,1.4,1.29,22,0,94.06,127.23,96.57,95.57,135.36,3.21,20.21,0,3.27,0.7,1.24,0.01,0.49,15.18,4.05,0,51.85
3,14.83,7.97,0,5.74,0,26.45,19.5,4.69,12.95,16.86,13.43,38.5,16.1,8.12,0,116.27,34.35,51.16,115.02,124.99,24.72,91.01,0,15.07,2.1,30.86,0,19.45,2.41,0,0,61.71
4,4.63,1.19,5.75,0,0,16.98,0,1.37,4.05,4.79,4.17,13.82,9.82,2.61,0,54.73,11.21,18.29,38.22,50.98,11.6,34.73,0,57.69,5.64,19.72,0,10.05,1.06,3.18,0,20.32
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.49,1.89,30.61,17.23,0,0,0,1.13,5.6,5.01,3.01,14.37,33.4,3.77,0,218.91,76.13,71.37,139.67,199.98,146.83,49.17,0,112.79,62.52,86.97,1.14,22.17,3.16,10.47,0,49.83
7,11.88,3.21,19.33,0,0,0,0,2,10.35,17.53,5.46,29.43,0,6.97,0,140.04,111.52,100.11,101.24,170.07,0,38.12,0,0,84.33,0,0,0,9.19,8.22,0,49.95
8,32.04,5.93,4.74,1.42,0,0.94,3.44,0,28.29,43.1,13.82,2,0.59,23.3,0,152.21,131.49,102.5,54.34,156.63,3.6,57.39,0,2.14,0.2,0.65,0.02,0.57,22.58,4.16,0,79.26
9,112.78,3.01,12.81,3.95,0,3.47,3.15,6.66,0,10.45,0,2.37,1.52,46.06,0,0,0,0,61.4,443.45,2.25,345.76,0,1.38,1.33,2.78,0.17,2.01,0.68,54.19,6.12,150.32
10,32.32,57.89,16.51,4.63,0,6.14,48.59,62.44,32.41,0,0,9.79,1.86,14.59,0,210.84,179.93,155.99,196.71,302.32,41.43,165.68,0,13.56,1.28,6.19,0.15,4.4,19.18,107.6,0,99.57
11,0,12.29,13.31,4.15,0,2.68,6.86,13.56,0,0,0,2.26,1.77,0,0,0,0,0,0,0,4.52,0,0,13.4,0.3,2.22,0.03,1.49,0,0,0,0
