HOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,1.6,1.04,0.3,0,0.32,0.83,2.25,10.34,1.15,0,0.39,0.07,0,0,81.78,16.41,1.4,3.92,20.94,0.41,0,0,0.22,0,0.28,0,0.18,0.23,0.44,0.65,0
2,5.44,0,0.73,0.07,0,0.12,0.28,0.33,4.05,5.11,1.14,0.44,0.08,3.35,0,13.25,7.12,0.97,4.7,7.37,0.24,2.04,0,0.33,0.06,0.01,0,0,0.52,1.09,0,6.69
3,2.14,1.02,0,0.68,0,1.48,2.87,0.54,1.54,2.52,1.91,11.27,0.83,0.95,0,19.9,4.79,4.49,12.98,15.75,3.59,21.75,0,1.48,0.11,4.33,0,0.86,0.24,0,0,11.69
4,0.82,0.19,0.79,0,0,1.59,0,0.26,0.59,0.75,0.51,3.77,1.48,0.36,0,9.98,1.5,1.73,4.76,6.55,3.22,8.55,0,7.82,0.79,3.94,0,1.1,0.11,0.39,0,4.48
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.8,0.41,2.59,2.6,0,0,0,0.45,0.89,1.13,0.9,2.6,4.82,0.39,0,52.56,3.08,4.18,4.61,21.23,35.87,39.43,0,31.41,25.03,21.56,0.03,0.89,0.24,1.69,0,9.3
7,2.16,1.85,1.94,0,0,0,0,1.69,2.4,1.01,2.02,5.17,0,1.94,0,19.02,5.03,2.12,5.38,9.6,0,11.35,0,0,17.04,0,0,0,1.95,0.8,0,5.64
8,7.46,0.67,0.65,0.27,0,0.14,0.36,0,7.26,8.51,2.54,0.48,0.25,5.69,0,29.51,11.22,0.9,8.89,17.26,0.02,14.84,0,0.27,0.06,0.04,0,0.03,3.25,3.37,0.02,15.32
9,19.05,1.3,0.95,0.25,0,0.32,0.63,2.25,0,1.49,0,0.5,0.03,5.96,0,0,0,0,3.02,30.72,0.55,51.63,0,0.17,0.2,0.72,0,0.09,0.47,2.81,0.7,30.15
10,5.1,6.27,1.19,0.36,0,4.26,6.13,9.51,4.64,0,0,1.92,2.15,2.67,0,23.51,10.74,1.31,13.3,17.75,2.25,12.25,0,4.56,0.1,2.15,0.02,0.72,4.32,4.03,0,13.93
11,0,1.21,1.34,0.29,0,0.38,0.7,1.32,0,0,0,0.28,0.31,0,0,0,0,0,0,0,0.44,0,0,0.89,0.03,0.08,0,0.11,0,0,0,0
12,0.38,0.14,4.67,1.46,0,1.66,2.82,0.14,0.39,0.3,0.13,0,0.69,0.06,0,12.52,1.22,2.04,2.64,4.09,0.47,10.53,0,11.3,11.57,0.62,0.01,0.61,0.21,1.19,0,0.45
13,0.14,0.19,0.51,0.65,0,1.83,0,0.07,0.05,0.2,0.18,0.52,0,0.07,0,1.39,0.42,0.68,0.33,1.15,0.49,2.9,0,1.77,0.47,0.6,0,0.5,0.05,0.16,0,0.74
14,0,1,0.4,0.12,0,0.11,0.5,0.34,4.97,0.75,0,0.03,0.21,0,0,0,0,10.12,2.59,46.86,0.52,0,0,0.06,0,0.02,0,0.1,0.18,1.23,0.44,0
15,0,9.64,9.82,4.84,0,23.5,18.21,15.77,0,24.07,0,9.9,6.27,0,0,0,0,0,25.9,0,64.41,0,460.6,17.48,0.35,103.27,0.55,1.07,12.19,82.83,16.61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,30.41,2.07,2.4,0.55,0,2.26,2.45,3.07,0,4.09,0,1.03,1.39,1.42,0,0,0,0,0,29.85,0.53,86.23,0,2.24,0.17,1.28,0.01,0.19,2.2,5.37,0.03,154.12
18,23.29,1.9,1.91,0.73,0,1.45,1.52,2.47,0,2.36,0,2.06,0.5,31.36,0,0,0,0,2.74,128.05,0.94,673.65,0,0.59,0.21,4.24,0,0.41,0.23,4.43,0.4,0
19,30.15,20.63,11.26,3.22,0,17.32,22.37,23.11,9.04,39.57,0,34.58,9.28,19.69,0,0.83,1.44,7.21,0,66.23,15.77,103.46,0,37.21,4.79,35.51,0.96,4.75,11.94,47.86,0.2,82.86
20,36.12,4.79,8.64,3.53,0,6.37,8.34,6.89,43.2,21.79,0,6.61,3.82,54.84,0,0,2.02,102.21,42.28,0,84.87,104.34,0,4.51,0.4,39.28,0.16,2.18,4.38,15.55,14.06,0
21,10.42,2.43,1.98,1.59,0,37,0,5.63,14.25,11.01,7.47,13.83,9.14,9.19,0,167.45,14.5,1.19,6.53,177.56,0,24.85,0,246.29,39.27,24.78,9.74,18.82,2.03,1.38,0,25.9
22,0,2.18,8.72,3.44,0,5.52,3.9,3.33,9.65,5.4,0,5.6,1.88,0,0,0,0.81,353.42,19.12,31.92,10.41,0,0,2.44,0.07,7.04,0.03,1.67,1.72,3.53,4.67,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.33,2.07,2.49,6.84,0,12.24,0,3.02,3.03,1.86,6.61,38.57,5.85,2.45,0,48.66,8.3,3.69,49.63,18.85,182.22,22.2,0,0,28.79,31.59,0.07,0.87,0.74,1.34,0,15.59
25,0.16,0.2,0.15,0.96,0,6.62,8.97,0.09,0.25,0.18,0.16,7.46,4.3,0.03,0,1.44,0.39,0.4,0.16,0.94,15.32,0.17,0,7.68,0,10,0.01,0.05,0.07,0,0,0.86
26,0.78,0.57,2.67,2.31,0,12.77,0,0.6,0.97,1.97,1.6,2.42,3.71,0.56,0,139.89,3.91,6.72,16.63,43.02,7.37,27.77,0,26.07,14.6,0,0.09,1.42,0.5,1.9,0,15.93
27,0.52,0.08,0,0,0,4.92,0,0.16,0.18,0.17,0.36,0.4,2.61,0.2,0,8.82,1.01,0.01,1.58,0.72,3.66,0,0,0.98,5.76,2.93,0,0.01,0,0,0,0.36
28,0.7,0.49,1.32,1.43,0,2.97,0,0.18,0.68,0.86,0.75,2.14,3.12,0.65,0,19.81,2.02,1.94,2.66,4.37,2.57,18.98,0,2.92,4.57,3,0.01,0,1.89,0.97,0,2.12
29,10.03,3.69,0.17,0.15,0,1.78,2.31,3.12,6.58,2.79,0,0.65,0.22,4.36,0,61.26,20.01,0.14,5.72,28.14,1.31,31.78,0,0.27,0.02,1.13,0,0.04,0,0.32,1.71,29.94
30,9.86,5.77,0,0.2,0,2.11,4.06,7.92,10.52,24.61,0,1.41,0.33,4.68,0,169.94,31.77,9.06,34.48,48.61,0.74,12.27,0,2.29,0,0.74,0,0,3.23,0,9.04,37.01
31,5.16,0,0,0,0,0,0,0,4.26,0,0,0,0,2.9,0,23.61,9.02,0.59,0,22.78,0,22.69,0,0,0,0,0,0,4.54,2.97,0,18.45
32,0,6.74,3.92,1.48,0,6.85,9.45,11.45,14.05,6.6,0,1.9,3.25,0,0,0,61.46,0,26.61,0,5.24,0,0,8.35,0.31,3.49,0.03,0.87,8.3,11.45,6.43,0
