LOVAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0,7.95,3.65,1.26,0,1.18,3.09,6.76,33.48,4.26,0,1.48,0.24,0,0,385.98,65.24,5.37,12.48,90.84,1.47,0,0,0.43,0,2.46,0.01,0.46,1.11,0.86,2.45,0
2,26.69,0,2.96,0.27,0,0.93,1.33,1.44,20.94,22.38,5.18,1.82,0.28,15.96,0,89.51,40.02,5.2,26.77,44.69,0.46,8.36,0,1.96,0.53,0.1,0.01,0.02,7.89,5.98,0.07,36.3
3,8.97,3.93,0,2.29,0,12.06,10.56,1.95,5.99,9.25,7.02,28.13,13.2,4.38,0,105.19,20.32,23.03,56.22,71.99,18.35,53.29,0,4.92,0.47,21.79,0,2.86,1.18,0,0,49.69
4,3.8,0.88,2.89,0,0,5.55,0,1.13,2.26,3.33,2.04,9.72,6.54,1.63,0,52.56,7.66,9.3,21.73,32.84,12.21,21.93,0,25.97,2.32,16.33,0,3.98,0.69,1.37,0,19.61
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.78,2.15,10.2,9.82,0,0,0,1.21,3.92,3.93,3.96,7.9,24.92,1.88,0,256.51,11.89,26.08,22.18,101.61,143.2,96.01,0,100.62,61.53,88.51,0.09,4.31,1.5,6.24,0,41.66
7,9.19,7.16,6.8,0,0,0,0,6.23,8.65,4.58,7.6,13.96,0,8.22,0,102.12,22.86,9.98,23.65,44.71,0,30.41,0,0,46.07,0,0,0,5.23,2.92,0,25.14
8,33.2,2.93,2.92,1.12,0,0.76,2.12,0,27.9,30.63,9.58,1.58,0.9,27.67,0,180.91,52.71,5.14,45.26,91.31,0.76,44.87,0,1.61,0.19,2.01,0.01,0.47,11.63,12.69,0.08,76.38
9,64.37,8.02,3.59,1.23,0,1.43,3.1,6.39,0,5.78,0,1.79,0.48,23.29,0,0,0,0,11.92,171.76,2.64,144.51,0,0.35,0.76,2.75,0.01,0.25,1.85,9.85,3.04,134.44
10,21.62,30.28,3.95,1.43,0,13.06,26.46,28.23,17.38,0,0,5.81,14.42,12.62,0,138.48,50.55,6.23,47.52,84.8,8.77,39.79,0,14.95,0.5,8.74,0.05,2.25,22.83,13.12,0,62.81
